Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
CDNA,"CareDx, Inc.",50.26,USD,203.68580060422957,5.877396250263322,0.47980807676928205,4.8273264737650825,663051,1214720.5,0.5647192590226765,2600162042.493802,USD,52.22602937274312,34.40553244177381,Health technology,Medical specialties,2026-11-10
HPE,Hewlett Packard Enterprise Company,62.09,USD,183.7751371115174,11.452162986896433,12.441144512857669,5.241032602443588,39046929,21768109.766666684,1.2232586876845533,82422286391.59146,USD,32.37339708758966,26.63381899522399,Electronic technology,Computer processing hardware,2026-12-03
TVTX,"Travere Therapeutics, Inc.",66.17,USD,137.76500179662239,7.8741441147701305,-1.9848911272404137,3.4195902329497776,1149769,1557263.5333333334,0.9507338245618097,6237255720.6447935,USD,48.174295974626254,77.11626820341095,Health technology,Pharmaceuticals: major,2026-10-22
NEO,"NeoGenomics, Inc.",17.32,USD,115.15527950310558,5.609756097560987,-1.6467915956842656,4.769176839326921,1072053,1766804.8666666667,0.5776295148917057,2225194583.032368,USD,11.209397231566756,11.187932482961859,Health services,Medical/Nursing services,2026-11-10
OKTA,"Okta, Inc.",166.5,USD,110.32021726773195,10.521075340192496,-2.694173338787922,5.000922350922401,2744788,3524701.6333333333,0.5517659230183867,29107655852.43703,USD,10.576923076923077,11.219688744118711,Technology services,Packaged software,2026-12-08
GTLB,GitLab Inc.,46.99,USD,105.06218634082481,13.516125135885973,-0.6553911205073895,4.688900373939818,3396738,5442993.666666667,0.415383783442961,7829238723.832347,USD,21.31462959823699,22.987433955710536,Technology services,Packaged software,2026-12-07
LFST,"LifeStance Health Group, Inc.",12.97,USD,103.93081761006289,12.197231833910035,-0.23076923076922584,3.32134596321184,7055616,4611560.566666666,1.5468022595065116,4955261170.91,USD,26.075914175916783,20.383932037101886,Health services,Medical/Nursing services,2026-11-05
SGMT,Sagimet Biosciences Inc. - Series A,10.88,USD,101.10905730129392,13.926701570680628,-1.6274864376130171,4.824711134453795,639392,1282740.7,0.6485418883779921,670111843.8191682,USD,,,Health technology,Pharmaceuticals: major,2026-11-12
PBF,PBF Energy Inc.,78.3,USD,85.0189035916824,13.626469307792775,1.582771146860403,4.875624885969713,2964414,2890323.066666667,1.0785901520861692,9281435240.21147,USD,56.22516822067342,13.535456296056521,Energy minerals,Oil refining/Marketing,2026-10-29
SPT,"Sprout Social, Inc",10.8,USD,84.61538461538464,11.455108359133138,1.7907634307257427,4.799801587301677,893291,1374033.2333333334,0.662766644213146,654827855.6833177,USD,10.797294637585214,11.845309253821423,Technology services,Packaged software,2026-10-29
RNG,"RingCentral, Inc.",68.92,USD,76.17586912065441,10.803858520900318,-0.17381228273465316,3.941339855733323,1044158,1558713.6,0.7195876862719586,5755244876.227114,USD,5.901534176448022,5.219097694332156,Technology services,Packaged software,2026-11-09
PARR,"Par Pacific Holdings, Inc. Common Stock",84.65,USD,62.476007677543194,13.335118489757676,1.2680942696494824,4.905180997384231,549066,962634.6000000004,0.6466376001299233,4240933362.8346686,USD,56.797793220586044,13.187341522133453,Energy minerals,Oil refining/Marketing,2026-11-09
WT,"WisdomTree, Inc.",23.93,USD,57.020997375328086,7.309417040358739,-1.360263808738672,4.286311264999212,1921340,2556048.533333333,0.7349370307524944,3625684957.422918,USD,57.30636382202253,37.13987511471811,Finance,Investment managers,2026-10-23
VEEV,Veeva Systems Inc.,262.4,USD,43.91487961388689,12.845654324173216,0.5441029963981757,3.3954377177697586,863803,1847691.0333333334,0.39863839478964164,42484882452.14805,USD,17.600474476004365,16.504217851996668,Technology services,Packaged software,2026-12-09
DOCU,"DocuSign, Inc.",65.65,USD,41.67026327147173,12.375898664840815,-0.22796352583585333,3.7859754107279744,2193150,3206557.9,0.5368509639157037,12270146448.116264,USD,9.381291872960997,8.587977755105864,Technology services,Packaged software,2026-12-03
SPSC,"SPS Commerce, Inc.",82.68,USD,36.300692383778454,12.65840032702004,7.056843195649362,4.126961089225185,1807312,590802.5666666667,3.9776121324617697,2976494637.8821707,USD,5.557630736392743,9.800409925775575,Technology services,Packaged software,2026-10-22
TALO,"Talos Energy, Inc.",17.68,USD,31.940298507462682,13.990973565441651,0.7981755986317023,3.2280219780219928,1249736,1818764.6666666667,0.7189474916519755,2951949651.927024,USD,56.52934514657858,2.440780209196424,Energy minerals,Oil & gas production,2026-11-04
SMCI,"Super Micro Computer, Inc.",40.1,USD,29.188144329896915,14.604172620748782,7.276618512573566,5.153188457427901,46492407,48462689.56666667,1.3583546405846472,26344313015.235424,USD,93.1552702482286,77.78535103837868,Electronic technology,Computer processing hardware,2026-11-03
YEXT,"Yext, Inc.",6.4,USD,20.982986767485826,13.475177304964552,1.9108280254777086,6.333705357142852,780583,942380.3666666667,0.547536243676471,633463742.165605,USD,-1.7604824305445028,-1.4753467643114642,Technology services,Data processing services,2026-12-09
TARS,"Tarsus Pharmaceuticals, Inc.",79.31,USD,16.35856807511738,13.478323079124342,-2.2312623274161765,4.706180088981736,490786,791622.3333333334,0.5003410123121247,3480360499.265779,USD,69.40580557179038,105.1735748051746,Health technology,Pharmaceuticals: major,2026-11-10
SMMT,Summit Therapeutics Inc.,17.55,USD,11.78343949044587,13.887086307592476,3.2352941176470633,4.8735042735043725,4278137,5626887.1,0.7024679480116804,14000506072.57059,USD,,,Health technology,Biotechnology,2026-11-11
