Symbol,Description,Price,Price - Currency,"Performance %, 3 months","Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
XHLD,"TEN Holdings, Inc.",8.92,USD,502.7027027027027,502.7027027027027,59.28571428571429,-28.81085395051875,18.693145419602818,4910622,7559942.4,1.4564270569278146,106838795.26895452,USD,-34.49820788530466,,Commercial services,Miscellaneous commercial services,2026-11-16
SWVL,Swvl Holdings Corp,5.51,USD,279.99999999999994,244.37499999999994,282.6388888888889,-22.55797610681659,20.448016593207157,552387,3006436.066666667,0.4897349615069368,54903533.457484186,USD,,40.45086050958886,Transportation,Other transportation,2027-05-04
NWGL,CL Workshop Group Limited,1.21,USD,260.87086191470326,15.23809523809523,205.32424930608127,-3.200000000000003,17.57969303423847,853930,1288759.8,0.5354302013909285,36066454,USD,,-32.131740216615405,Non-energy minerals,Forest products,
CYPH,Cypherpunk Technologies Inc.,2.58,USD,222.5,248.64864864864865,297.41219963031426,13.907284768211916,13.841638981173881,10558570,9425362.5,0.7452594514802575,278032116.6887417,USD,,,Health technology,Biotechnology,2026-11-16
MRNA,"Moderna, Inc.",146.69,USD,180.80015313935678,175.83678074464083,133.24852917792973,1.8892824894075146,7.310952153715779,10546639,24967429.066666666,0.670550542046802,58563910319.58513,USD,2.112676056338028,-27.61533463287849,Health technology,Biotechnology,2026-10-29
RCEL,"Avita Medical, Inc.",10.19,USD,161.28205128205127,131.06575963718817,27.215980024968786,3.1376518218623346,5.5726903126315035,333387,614156.9666666667,1.2671156601686766,315144578.8097166,USD,17.830383320999697,0.9962074677925217,Health technology,Medical specialties,2026-11-05
HOWL,"Werewolf Therapeutics, Inc.",0.9579,USD,147.83958602846053,10.078142955642381,139.47499999999997,-2.454175152749492,7.22450897051575,969053,13673406.433333334,0.9054720222578826,46553046.4802444,USD,,,Health technology,Pharmaceuticals: major,2026-11-05
BNC,CEA Industries Inc.,5.27,USD,139.5454545454545,66.77215189873415,108.300395256917,9.791666666666663,8.231499051233419,5552734,3131035.7,0.6580939687770238,216986203.77291667,USD,-4.568460309003729,187.74798884245592,Producer manufacturing,Trucks/Construction/Farm machinery,2026-12-30
LIFE,Ethos Technologies Inc.,39.36,USD,137.96856106408706,232.15189873417722,12.32876712328767,-2.211180124223604,6.21366869918698,983692,1608225.1333333333,0.8279362454448196,2509546594.870062,USD,113.35299215522964,83.24085876383994,Technology services,Packaged software,2026-12-02
TJGC,TJGC Group Limited,11.53,USD,131.9919517102616,517.4019533034217,195.6410256410256,3.038427167113493,8.9766447775988,1109982,1684027.0333333334,0.6303474275814185,116453263.77837354,USD,,-5.896746970571368,Electronic technology,Electronic equipment/Instruments,
IOVA,"Iovance Biotherapeutics, Inc.",9.26,USD,127.51842751842752,143.04461942257214,42.02453987730062,7.674418604651165,4.757405121875844,21028157,17051728.1,1.9813293982171467,4194515678.6837206,USD,65.65419001868162,34.52396232274092,Health technology,Biotechnology,2026-11-05
CDNA,"CareDx, Inc.",52.37,USD,117.39310917393108,202.1927293710329,11.342617199957482,4.1981695185037795,4.756949180283245,794940,1148542.6,0.712762413873645,2709321137.660963,USD,52.22602937274312,34.40553244177381,Health technology,Medical specialties,2026-11-10
TXG,"10x Genomics, Inc.",70.11,USD,116.92450495049505,291.2388392857143,22.677165354330707,2.2160664819944538,5.265185321026186,3361470,2978711.3333333335,1.4844513429469584,9134713268.07756,USD,-12.649501468989289,-4.27563284952193,Health technology,Biotechnology,2026-11-04
TEAM,Atlassian Corporation,192.77,USD,113.26474167496407,159.20398009950247,15.979784609830936,7.2732331663884375,4.723356479594614,3733494,4850746.866666666,1.040714134810593,48797569550.450874,USD,27.603326919111804,26.019652929417052,Technology services,Packaged software,2026-10-29
ARCT,Arcturus Therapeutics Holdings Inc.,15.29,USD,110.31636863823934,133.07926829268294,94.52926208651398,3.8017651052274184,9.406428104269807,595763,1245990.4,0.5696293182840376,434588711.1317039,USD,-96.4096287229757,-82.94748729532144,Health technology,Pharmaceuticals: major,2026-11-11
PLSE,"Pulse Biosciences, Inc",54.21,USD,107.22477064220183,144.96159060099413,21.820224719101127,2.0711730370928287,7.523506469549683,505750,551128.8,0.6190409278159722,3866398675.7493877,USD,,,Health technology,Medical specialties,2026-11-16
BRR,"ProCap Financial, Inc.",3.22,USD,100,12.982456140350882,90.53254437869825,3.2051282051282075,6.07808340727594,2147809,1006186.8333333334,1.4364419886325066,284550022.21153843,USD,,,Technology services,Internet software/Services,
ATRC,"AtriCure, Inc.",55.79,USD,99.0367463432037,91.06164383561644,27.636696408144584,2.291895856252292,3.4981179422836126,1154685,837398,1.1118951602225438,2837830637.636964,USD,12.828799976494611,13.936705164157729,Health technology,Medical specialties,2026-11-04
AVAH,Aveanna Healthcare Holdings Inc.,14.38,USD,99.03114186851214,105.72246065808297,20.738874895046184,2.1306818181818232,3.6242300814623296,2585216,3434347.2,0.885093208105448,3139019960.6292615,USD,13.727349364688163,19.52305030325963,Health services,Medical/Nursing services,2026-11-05
NEOV,NeoVolta Inc.,3.57,USD,98.33333333333331,-8.92857142857143,2.881844380403448,-2.9891304347826173,8.713285314125535,1190894,1845815.7,0.5362911378895268,210141795.7092391,USD,0.47728395490803444,324.6728189181262,Producer manufacturing,Electrical products,2026-09-23
CHYM,"Chime Financial, Inc.",33.97,USD,93.01136363636361,74.65295629820052,5.3986968662736645,2.939393939393936,3.715946843853748,9851807,9128935,1.3520933324998097,12860535691.561516,USD,10.605790483639382,17.506383731807418,Technology services,Packaged software,2026-11-11
RNXT,"RenovoRx, Inc.",1.69,USD,92.74635036496349,67.32673267326733,33.070866141732274,-3.9772727272727306,16.492814877430252,577918,1178483.4,0.24629151884770356,76268869.40340911,USD,115.40284360189574,198.48942598187313,Health technology,Pharmaceuticals: major,2026-11-16
CRDL,Cardiol Therapeutics Inc.,1.99,USD,91.34615384615384,93.20388349514563,15.028901734104046,-0.25062656641604586,7.842426417803237,1366031,1512757.4666666666,0.9077415305184947,232477112.93818182,USD,,,Health technology,Biotechnology,2026-11-12
RNG,"RingCentral, Inc.",72.32,USD,90.6670181914052,94.25194735428417,6.808447792054349,4.933255948926279,3.9879207490517974,1974238,1556688.1,1.4145100198501903,6039165595.9233885,USD,5.901534176448022,5.219097694332156,Technology services,Packaged software,2026-11-09
SLN,Silence Therapeutics Plc - American Depository Share,13.06,USD,87.9136690647482,81.38888888888889,-6.780870806566733,0.30721966205837886,5.359494640122548,1045190,1526225.7,1.424518470805951,783929547,USD,-100,-97.28996424812001,Commercial services,Miscellaneous commercial services,2026-11-17
VSTM,"Verastem, Inc.",7.51,USD,87.28179551122194,32.451499118165785,12.762762762762758,2.59562841530054,5.519212478599987,1514426,2122747.066666665,0.5818338932709668,680131438.7090164,USD,1775.4328497894246,3995.7416939635004,Health technology,Biotechnology,2026-11-11
OMER,Omeros Corporation,17.46,USD,86.93790149892935,56.171735241502695,0.6340057636887575,-4.485776805251642,4.538823433153287,1630181,2054653.7333333334,1.281739682728384,1263899997.8566737,USD,,,Health technology,Pharmaceuticals: major,2026-11-11
FCUV,Focus Universal Inc.,5.44,USD,83.61009855542055,-68.44547563805104,1.3035381750465602,-4.561403508771926,39.48975840336135,65321,782247.6666666666,0.11916363441331781,3822932.3228070172,USD,1811.0387772431363,73.81305963513579,Commercial services,Advertising/Marketing services,2026-12-02
INSP,"Inspire Medical Systems, Inc.",74.32,USD,79.9951562121579,34.931009440813355,27.89537084839097,1.8082191780821826,4.113072812547754,1172062,696637.7,1.6799512438578241,2148619113.777534,USD,-7.602977621772017,4.345695868628325,Health technology,Medical specialties,2026-11-09
CELU,Celularity Inc.,1.4,USD,79.48717948717946,13.442994895065224,98.98206460947637,-0.7092198581560291,25.954081632653086,204955,8176077,0.09250795472271489,40524344.397163115,USD,-77.36598279285242,-51.03282921431206,Commercial services,Miscellaneous commercial services,2026-11-13
GPRO,"GoPro, Inc.",1.35,USD,79.47354427014093,88.0222841225627,110.9704641350211,-2.173913043478247,18.119841269841274,20460936,62455724.2,0.11882334981982996,252642686.08695653,USD,-31.25528193235196,-23.856114183019052,Consumer durables,Electronics/Appliances,2026-11-05
NEO,"NeoGenomics, Inc.",18.41,USD,78.91156462585036,125.61274509803921,12.3931623931624,6.293302540415703,4.723481027391916,1501151,1721524.7333333334,1.032904220052386,2365232685.8579674,USD,11.209397231566756,11.187932482961859,Health services,Medical/Nursing services,2026-11-10
ENSC,"Ensysce Biosciences, Inc.",0.4814,USD,78.3623564283068,1.347368421052635,41.96402241226776,-1.1295953994660106,9.177844382455929,418529,29282890.5,0.5768835286009742,9366500.632984186,USD,-15.102614919522427,-39.291573112668644,Health technology,Biotechnology,2026-11-16
ASST,"Strive, Inc.",29.03,USD,76.25986642380087,173.09501411100655,131.49920255183414,5.1049963794351925,7.545913094827945,9749778,7798981.7,0.8977605943203645,2707412395.11803,USD,-19.196116796241466,650.3060458871381,Finance,Financial conglomerates,2026-11-13
GTLB,GitLab Inc.,49.25,USD,74.7693399574166,118.40354767184036,12.674445207046439,4.809533943392206,4.514343727338713,3353310,5450171.766666667,0.4211546427561027,8205789043.466694,USD,21.31462959823699,22.987433955710536,Technology services,Packaged software,2026-12-07
CLMT,"Calumet, Inc",56.55,USD,72.19853836784407,97.5200838281523,15.715162676488644,-0.44014084507042256,4.03393962359483,1312101,1274800.0333333334,1.002172683669906,4970644924.420774,USD,40.76563413208652,12.799724842767295,Energy minerals,Oil refining/Marketing,2026-11-06
