Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
DELL,Dell Technologies Inc.,563.29,USD,244.51987767584097,13.417899929527833,3.6393074644440713,5.6125771297707425,12973092,8366987.466666666,0.9438081575002032,358146975464.418,USD,56.71955904459662,48.85672082717873,Electronic technology,Computer processing hardware,2026-12-01
CRWD,"CrowdStrike Holdings, Inc.",241.36,USD,127.87277984304008,11.46723317785065,-0.46599859788032305,5.362132439982898,11677823,10312598.133333333,0.9963886464715985,247136912414.459,USD,25.830401932671315,24.303575451578887,Technology services,Packaged software,2026-12-01
FIVN,"Five9, Inc.",34.08,USD,118.32158872517617,5.217659771534417,3.210175651120518,4.6346830985915375,3111119,2101338.7333333334,1.9494057390916404,2546578061.7565107,USD,10.299397392584433,8.86775015011539,Technology services,Packaged software,2026-11-09
HNGE,"Hinge Health, Inc.",93.73,USD,111.53238546603475,7.2671091783016815,1.4503734170364795,4.742878480742614,1733524,1880902.3333333333,0.9505814176654899,7563487871.149475,USD,52.99788638226286,49.76497210863696,Technology services,Packaged software,2026-11-03
FTRE,Fortrea Holdings Inc.,19.97,USD,103.98365679264556,14.968336211859514,1.2164216928535148,4.7350668860433265,2689505,1275989.3333333333,2.1516802555482566,1899146925.0998478,USD,-4.519217232155428,-2.0852387049570145,Commercial services,Miscellaneous commercial services,2026-11-05
VRNS,"Varonis Systems, Inc.",46.76,USD,97.19973009446693,6.0557949648446225,-1.495681483041923,4.188179762923127,1965074,1695583.133333334,0.7837356996553931,5370876242.202654,USD,18.83506502894922,15.860227700414,Technology services,Packaged software,2026-11-02
GH,"Guardant Health, Inc.",174.9,USD,97.0926301555105,11.792905081495698,-0.4269854824935952,4.782238830352116,1523318,1920153.1,0.8939350629253484,23470908791.253628,USD,44.33232222260522,42.740716342783784,Health technology,Medical specialties,2026-10-29
ZETA,Zeta Global Holdings Corp.,30.85,USD,79.36046511627909,6.9138797435453165,-0.6121134020618484,4.538342208844644,4527803,8178810.333333333,0.6991459841263795,7743769598.761276,USD,43.5491923927351,35.90911804427817,Technology services,Packaged software,2026-11-10
HPQ,HP Inc.,32.7,USD,77.4281063483451,9.989909182643801,-3.3116499112950843,5.186893840104811,12964079,15532518.16666677,0.7969736456548528,29488565944.62153,USD,11.143383394729385,8.674553179021387,Technology services,Information technology services,2026-12-01
NTRA,"Natera, Inc.",345.34,USD,72.12779743807008,11.224194015910323,-1.5508295797936023,3.082370169356915,1432664,1315278.1666666667,1.3845445688722169,49778745780.9232,USD,37.71496523966337,37.8173032034126,Health technology,Biotechnology,2026-11-11
SABR,Sabre Corporation,2.32,USD,66.90647482014388,5.454545454545439,11.004784688995215,5.861453201970409,9160384,4546044.333333333,1.6314440317404433,936313035.1004783,USD,3.6108616908414333,-3.0310165384390615,Technology services,Packaged software,2026-10-29
SAIL,"SailPoint, Inc.",20.36,USD,65.25974025974025,5.546915500259203,1.9019019019018968,6.303852090934653,3739528,3843478.1,0.7372083093390039,11623760339.043043,USD,16.815769465007826,20.133538512915287,Technology services,Packaged software,2026-12-15
ASAN,"Asana, Inc.",9.65,USD,47.10365853658538,7.70089285714285,1.5789473684210564,4.973056994818641,18676695,5784375,2.5114875841574547,2209561660.0315795,USD,9.898139497095503,9.479931096389699,Technology services,Packaged software,2026-12-08
PARR,"Par Pacific Holdings, Inc. Common Stock",84.9,USD,45.35182331792503,6.071964017991004,1.5550239234449896,5.076249369005578,1145465,964651.1000000004,1.3967789086890816,4253458377.796652,USD,56.797793220586044,13.187341522133453,Energy minerals,Oil refining/Marketing,2026-11-09
BBY,"Best Buy Co., Inc.",92.45,USD,44.45312500000001,7.4750058126017285,-0.8472758472758388,3.8205130186200864,4014874,3962440.966666667,0.9958362568597041,19389326059.339344,USD,3.613053613053613,1.4495889225443532,Retail trade,Electronics/Appliance stores,2026-11-24
NEOG,Neogen Corporation,12.55,USD,44.25287356321841,9.2254134029591,2.4489795918367405,3.2043255549230687,2836843,1974886.4,1.135171198652669,2737230334.832653,USD,-0.07052280015435179,-2.713988873998084,Health technology,Medical specialties,2026-10-06
ROIV,Roivant Sciences Ltd.,39.57,USD,42.80043305665824,9.249033683048044,0.17721518987341844,3.8919636087944713,6180885,8095410.3,0.6927943041541946,28582321032.863544,USD,-33.5483870967742,-67.5805965652305,Health technology,Pharmaceuticals: major,2026-11-16
BOX,"Box, Inc.",34.66,USD,41.527153940383826,7.639751552795011,-0.40229885057471426,3.0581155716758324,2754432,2836028.1666666665,1.152841656376148,4755378233.0385065,USD,9.23404501375855,9.626509277749747,Technology services,Information technology services,2026-12-08
SB,"Safe Bulkers, Inc",8.75,USD,37.57861635220125,11.749680715197956,1.6260162601626085,3.508653061224517,1830401,1053552.5666666667,1.081693139590757,891042854.6747968,USD,33.036732832081604,10.807256007471453,Transportation,Marine shipping,2026-11-11
SM,SM Energy Company,38.16,USD,34.366197183098585,12.40058910162001,-7.580527972874794,3.3916966157532356,5820646,3997150.9,1.6496197014151288,9076511319.240494,USD,215.25851197982345,75.39189250000238,Energy minerals,Integrated oil,2026-10-29
UROY,Uranium Royalty Corp.,4.39,USD,26.512968299711797,6.553398058252417,2.5700934579439116,5.518060527172065,2588507,2772490.533333333,0.7709760542365369,1655954756.5771024,USD,1467.4247127381077,132.4100214858637,Non-energy minerals,Other metals/Minerals,2026-12-16
NOW,"ServiceNow, Inc.",139.82,USD,25.624438454627132,14.204034958751928,-1.4658210007047303,4.235169707991897,9811390,16707108.833333334,0.6798895480835109,144573873781.50797,USD,24.01244167962675,22.186281827983745,Technology services,Packaged software,2026-10-28
IT,"Gartner, Inc.",191.57,USD,22.432415159455484,7.370249971976239,-2.070340455986101,4.029642279211457,911953,1280039.4,0.8337593008494818,12097448910.125652,USD,-0.6232604031891767,0.6801568226741785,Technology services,Internet software/Services,2026-11-03
DSX,Diana Shipping inc.,2.99,USD,20.564516129032267,12.830188679245294,0,3.4338270425226627,1506799,1129389.2666666666,1.0254467209025897,371996976,USD,4.748756583338369,-3.680426074388273,Transportation,Marine shipping,2026-11-18
NAVI,Navient Corporation,9.74,USD,19.803198031980312,6.448087431693987,-2.599999999999998,3.545761220299172,2683176,1348159,2.0557810279410815,913454491.5380001,USD,-11.910669975186105,-17.19269102990033,Finance,Finance/Rental/Leasing,2026-10-27
TALO,"Talos Energy, Inc.",17.42,USD,17.46459878624411,9.697732997481113,-4.96453900709218,3.436116122683349,2865469,1924381.7,1.446778889048606,2908538464.4964542,USD,56.52934514657858,2.440780209196424,Energy minerals,Oil & gas production,2026-11-04
APA,APA Corporation,44.79,USD,16.82316118935836,10.48347311297484,-5.526260282640788,3.2269479794594735,9160702,5552473.366666666,1.8183928048772862,15692243700.115799,USD,8.953168044077135,-12.439097146266283,Energy minerals,Integrated oil,2026-11-04
SPOT,Spotify Technology S.A.,547.43,USD,14.195419082982175,6.936630723550542,-1.9399562927668184,3.2846482655317413,1546653,1628836.6333333333,1.1015333051775134,112706171071.4599,USD,16.868744977592012,16.91029466619277,Technology services,Internet software/Services,2026-10-27
MDXG,"MiMedx Group, Inc",4.73,USD,13.701923076923084,11.032863849765274,0.21186440677967533,4.009362730293021,1094340,1050135.9666666666,1.090298807470112,689446980.6101696,USD,-34.72744789817961,-2.3643800821389105,Health technology,Medical specialties,2026-11-04
CTKB,"Cytek Biosciences, Inc.",4.93,USD,8.830022075055174,5.793991416309003,0.8179959100204507,4.315415821501154,1555258,908561.7666666667,1.6871978870890998,640817384.6932515,USD,5.56554537081707,5.444946055551305,Health technology,Medical specialties,2026-11-11
WAY,Waystar Holding Corp.,26.59,USD,7.0020120724346,7.65182186234818,-0.29996250468692104,3.9983420190191485,3882956,2465728.7333333334,1.8835492543282104,5098590724.687288,USD,18.11168502959498,19.22608753261881,Technology services,Packaged software,2026-11-11
