Symbol,Description,Price,Price - Currency,"Performance %, 3 months","Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
XHLD,"TEN Holdings, Inc.",9.65,USD,579.5774647887324,609.5588235294118,61.101836393989984,2.3329798515376523,17.949888971132488,5479950,7935765.533333333,1.6505472291682548,115582335.7051962,USD,-34.49820788530466,,Commercial services,Miscellaneous commercial services,2026-11-16
USDE,StablecoinX Inc.,6.2,USD,513.8613861386139,-36.41025641025641,115.27777777777779,1.3071895424836613,21.48404377880179,1347690,6873384.466666667,0.3711240797592514,168560197.28758168,USD,,,Technology services,Packaged software,
NWGL,CL Workshop Group Limited,1.55,USD,500.77519379844966,68.3867463335144,252.19268348102707,-10.919540229885055,17.193548387096758,1130347,1563884.6333333333,0.4496821146584824,50204504,USD,,-32.131740216615405,Non-energy minerals,Forest products,
CYPH,Cypherpunk Technologies Inc.,2.44,USD,224.81363152289669,234.24657534246575,260.9467455621301,9.909909909909898,15.265515222482437,22134540,10467733.5,1.4929091278050723,262945094.23423418,USD,,,Health technology,Biotechnology,2026-11-16
HELP,Cybin Inc.,13.47,USD,191.5584415584416,178.88198757763976,13.003355704697992,2.667682926829279,6.497083465903064,923600,1711678.2666666664,0.6508640685614403,1376406,USD,,,Health technology,Pharmaceuticals: major,2026-11-16
SWVL,Swvl Holdings Corp,4.23,USD,183.89261744966444,176.47058823529412,200,-15.737051792828668,28.620905099628498,595892,3035954.1,0.8753842436065904,42149175.221115544,USD,,40.45086050958886,Transportation,Other transportation,2027-05-04
RCEL,"Avita Medical, Inc.",10.45,USD,160.5985037406484,158.66336633663363,32.111251580278115,2.3506366307541473,5.139781271360295,311305,623282.3333333334,1.1281267598386078,323185557.42409396,USD,17.830383320999697,0.9962074677925217,Health technology,Medical specialties,2026-11-05
HOWL,"Werewolf Therapeutics, Inc.",0.919,USD,157.35088210585272,12.073170731707329,123.60097323600974,-6.224489795918362,6.583631276231809,1508132,13729947.866666667,1.6255090318871521,44662543.82959184,USD,,,Health technology,Pharmaceuticals: major,2026-11-05
IOVA,"Iovance Biotherapeutics, Inc.",9.87,USD,148.61460957178838,155.03875968992244,44.29824561403508,5.448717948717947,4.398755246779447,19609499,17285272.966666665,1.6556339331426455,4470827904.644231,USD,65.65419001868162,34.52396232274092,Health technology,Biotechnology,2026-11-05
TJGC,TJGC Group Limited,11.02,USD,144.88888888888889,561.8618618618618,170.76167076167073,0.27297543221109516,9.534482758620666,3514874,1860263.2,1.6839074953098028,111302253.69062784,USD,,-5.896746970571368,Electronic technology,Electronic equipment/Instruments,
