Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
XHLD,"TEN Holdings, Inc.",9.65,USD,609.5588235294118,61.101836393989984,2.3329798515376523,17.949888971132488,5479950,7935765.533333333,1.6505472291682548,115582335.7051962,USD,-34.49820788530466,,Commercial services,Miscellaneous commercial services,2026-11-16
TJGC,TJGC Group Limited,11.02,USD,561.8618618618618,170.76167076167073,0.27297543221109516,9.534482758620666,3514874,1860263.2,1.6839074953098028,111302253.69062784,USD,,-5.896746970571368,Electronic technology,Electronic equipment/Instruments,
QMCO,Quantum Corporation,23.83,USD,361.8217054263565,-4.0273862263391065,2.4505588993980942,7.474282117379037,758500,1924718.4333333333,0.7950100411287989,939140305.1225278,USD,25.692996920013687,10.898127340823969,Electronic technology,Computer peripherals,2026-11-13
TXG,"10x Genomics, Inc.",72.68,USD,294.57111834962,30.391101542877653,-2.298696061298553,5.536982074062489,4077976,3009816.7,1.7065535809504984,9469561978.352467,USD,-12.649501468989289,-4.27563284952193,Health technology,Biotechnology,2026-11-04
LIFE,Ethos Technologies Inc.,38.55,USD,282.0614469772051,13.282397884219794,-4.29493545183715,6.485992217898845,2886608,1523854.5666666667,2.2372636913245008,2457901887.3857994,USD,113.35299215522964,83.24085876383994,Technology services,Packaged software,2026-12-02
CYPH,Cypherpunk Technologies Inc.,2.44,USD,234.24657534246575,260.9467455621301,9.909909909909898,15.265515222482437,22134525,10467733,1.4929081160995246,262945094.23423418,USD,,,Health technology,Biotechnology,2026-11-16
CDNA,"CareDx, Inc.",53.55,USD,204.2613636363636,18.146718146718133,1.7287234042553126,4.383153261304629,846031,1055954.4,0.8306386837431606,2770367577.8457446,USD,52.22602937274312,34.40553244177381,Health technology,Medical specialties,2026-11-10
PCLA,PicoCELA Inc.,7.19,USD,203.36272731108397,8.610271903323268,-11.88725490196078,17.54708921120614,88666,833548.9333333333,0.066779358937435,78448646,USD,,,Electronic technology,Computer communications,
HELP,Cybin Inc.,13.47,USD,178.88198757763976,13.003355704697992,2.667682926829279,6.497083465903064,923600,1711678.2666666664,0.6508640685614403,1376406,USD,,,Health technology,Pharmaceuticals: major,2026-11-16
SWVL,Swvl Holdings Corp,4.23,USD,176.47058823529412,200,-15.737051792828668,28.620905099628498,595892,3035954.1,0.8753842436065904,42149175.221115544,USD,,40.45086050958886,Transportation,Other transportation,2027-05-04
