Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Upcoming earnings date
MXL,"MaxLinear, Inc",69.51,USD,305.54259043173863,-19.79923849082727,3.5607866507747326,5.871015475676687,2811675,2254531.933333333,1.1520793030311014,6304083470.374255,USD,55.17171661474273,50.50460960543893,Electronic technology,2026-10-28
DELL,Dell Technologies Inc.,563.29,USD,244.51987767584097,13.417899929527833,3.6393074644440713,5.6125771297707425,12973092,8366987.466666666,0.9438081575002032,358146975464.418,USD,56.71955904459662,48.85672082717873,Electronic technology,2026-12-01
APPS,"Digital Turbine, Inc.",10.84,USD,234.5679012345679,-12.012987012987017,-4.745166959578215,6.327358987875656,2213098,3528264.3333333335,0.8750992845737584,1311816170.003515,USD,26.77619418602876,19.240509849178554,Technology services,2026-11-11
HPE,Hewlett Packard Enterprise Company,56.68,USD,152.6972804279982,-4.32140445644835,1.4316392269148124,5.7878818429278756,23180353,22359499.766666688,0.6555848346621984,75240701862.63779,USD,32.37339708758966,26.63381899522399,Electronic technology,2026-12-03
AMD,"Advanced Micro Devices, Inc.",512.5,USD,150.14032262000634,-0.3228566983040237,1.646172153907182,3.247002090592304,22144771,20015373.866666667,1.165556505379453,836643445243.4055,USD,50.11060507482108,39.54391891891892,Electronic technology,2026-11-03
ENGS,Energys Group Limited,2.75,USD,147.74774774774772,-3.1690140845070376,-6.462585034013604,4.480519480519537,770845,1346749.4666666666,0.5620820087235752,122447984.43877551,USD,,-33.561947226961195,Electronic technology,
OSCR,"Oscar Health, Inc.",32.34,USD,144.07547169811323,0.37243947858474413,-0.30826140567199234,5.371256294725617,6293456,5689794.333333333,1.2930180625007408,8843986895.74476,USD,70.40201540183209,42.81608289889565,Health services,2026-11-10
CLOV,"Clover Health Investments, Corp.",4.56,USD,138.74345549738217,0.2197802197802151,-2.1459227467811273,4.567982456140223,3841163,4436467.7,0.8407134305286097,2422076758.6094418,USD,55.60415493267392,54.03893900418447,Finance,2026-11-09
XMTR,"Xometry, Inc.",93.15,USD,133.86894300778312,-3.2308331601911484,6.353827710224367,4.692058431101959,957095,565216.8,1.6631339438879202,5339690842.812126,USD,41.054587288599606,33.74988820097985,Technology services,2026-11-05
CRWD,"CrowdStrike Holdings, Inc.",241.36,USD,127.87277984304008,11.46723317785065,-0.46599859788032305,5.362132439982898,11677824,10312598.166666666,0.9963887317947487,247136912414.459,USD,25.830401932671315,24.303575451578887,Technology services,2026-12-01
