Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
HPE,Hewlett Packard Enterprise Company,61.06,USD,172.22469906375392,9.308986752595779,7.727593507410026,5.773946001591074,19705073,22466703.200000025,0.550179444807533,81054996342.26889,USD,32.37339708758966,26.63381899522399,Electronic technology,Computer processing hardware,2026-12-03
CMPS,COMPASS Pathways Plc - American Depository Shares,15,USD,162.69702276707528,10.701107011070105,8.695652173913038,5.709190476190358,4957426,2601476.2,1.7942191224666295,1910980170,USD,,,Health technology,Biotechnology,2026-10-29
CRSR,"Corsair Gaming, Inc.",13.51,USD,152.05223880597012,12.865497076023384,2.6595744680851037,3.977054034048919,794012,1779788.1,0.7336451123943033,1461470763.8882978,USD,-1.8046808616984056,3.1101440380085306,Technology services,Packaged software,2026-11-10
AVAH,Aveanna Healthcare Holdings Inc.,13.97,USD,131.67495854063017,10.173501577287073,-2.0336605890603026,3.758257490540952,3024747,3628969.3666666667,0.9519160068576414,3049520847.7994394,USD,13.727349364688163,19.52305030325963,Health services,Medical/Nursing services,2026-11-05
SGMT,Sagimet Biosciences Inc. - Series A,11.17,USD,130.78512396694217,7.300672430355425,6.787762906309743,4.514004348382158,1018543,1134676.5,1.037631476161767,687973257.627151,USD,,,Health technology,Pharmaceuticals: major,2026-11-12
FIVN,"Five9, Inc.",34.5,USD,121.01217168481743,8.048856874412778,1.2323943661971881,4.644513457556919,2545993,2084794,1.4633757596599302,2577962048.81162,USD,10.299397392584433,8.86775015011539,Technology services,Packaged software,2026-11-09
AYA,Aya Gold & Silver Inc.,28.82,USD,116.04197901049476,11.575687185443293,7.738317757009347,5.258649747199343,1219654,1129056.2666666666,0.9906695503870352,4151122649.975408,USD,140.19103550703832,249.71007353483225,Non-energy minerals,Precious metals,2026-11-17
HNGE,"Hinge Health, Inc.",94.72,USD,113.76664409839765,8.736080817357365,1.0562253280699827,4.583577159749078,1910094,1814501.7333333334,1.0435666544304028,7643375669.969486,USD,52.99788638226286,49.76497210863696,Technology services,Packaged software,2026-11-03
RBRK,"Rubrik, Inc.",107.83,USD,111.88838671644724,8.30654881478505,2.714802819584677,5.546190432029072,3915181,3737579,1.2131551373970242,22353637587.297962,USD,37.88807848705867,42.448820868652774,Technology services,Information technology services,2026-12-03
DRTS,Alpha Tau Medical Ltd.,15.49,USD,110.74829931972789,10.642857142857144,2.992021276595752,4.608272618279176,858369,606124,1.6932879932392284,1399147789.3311174,USD,,,Health technology,Medical specialties,2026-11-24
FTNT,"Fortinet, Inc.",172.58,USD,108.02796528447448,10.628205128205137,0.4715608080572872,4.064512524212315,4595089,4267183.666666696,1.2141004132749236,126624300215.45253,USD,25.63803680981595,18.768046198267566,Technology services,Information technology services,2026-10-29
FTRE,Fortrea Holdings Inc.,20.28,USD,107.15015321756898,13.932584269662923,1.55232849273912,4.708474218089557,2285248,1288457.1666666667,1.6319491978286933,1928627902.5097647,USD,-4.519217232155428,-2.0852387049570145,Commercial services,Miscellaneous commercial services,2026-11-05
GH,"Guardant Health, Inc.",183.1,USD,106.33310795582601,13.924838227974114,4.6883933676386444,4.6909534212374755,1836426,1901482.1333333333,1.1387451818410292,24571317318.94111,USD,44.33232222260522,42.740716342783784,Health technology,Medical specialties,2026-10-29
MGNI,"Magnite, Inc.",25.63,USD,104.2231075697211,5.690721649484531,7.779646761984852,3.9644389944819314,6829971,2729592.733333332,3.1808561941848765,3675961424.719091,USD,11.24489419149378,8.315889962252253,Technology services,Packaged software,2026-11-11
VRNS,"Varonis Systems, Inc.",47.81,USD,101.62786774628881,10.72255673923113,2.2455089820359375,4.09918725909105,1578183,1671457.8666666676,0.6245358570626147,5491479411.99551,USD,18.83506502894922,15.860227700414,Technology services,Packaged software,2026-11-02
VIA,"Via Transportation, Inc.",27.84,USD,99.14163090128756,10.039525691699602,4.58302028549962,4.401221264367793,755312,662562.7,1.2238789524682976,2269116377.761082,USD,26.671520446547746,29.132842927413442,Technology services,Packaged software,2026-11-12
TWLO,Twilio Inc.,246.24,USD,96.44196250498605,6.759158898764364,3.081044876088418,3.85683537547571,1586958,2256873.7666666666,0.9825028147871887,37816364381.208305,USD,22.033416773510798,17.82384637960389,Technology services,Packaged software,2026-10-29
ACHV,"Achieve Life Sciences, Inc.",7.91,USD,93.87254901960785,6.460296096904448,6.603773584905663,4.887755102040922,1870823,1553262.5333333334,1.037914077992947,813958693.9811321,USD,,,Health technology,Pharmaceuticals: major,2026-11-05
AMPL,"Amplitude, Inc.",13.81,USD,91.93884642112577,10.127591706539087,2.524127691165552,4.1897693182993825,1245407,1962884.3333333333,0.7767890450781485,1725084846.096511,USD,21.155278011288576,18.257515691582615,Technology services,Packaged software,2026-11-10
STLN,"Starling Oncology, Inc.",6.63,USD,85.71428571428572,6.59163987138264,1.5313935681470083,5.473066149536663,3116582,1476363.9,3.0767184967962593,662886867.6294026,USD,34.623795929951086,38.37823062567157,Health services,Medical/Nursing services,2026-11-11
NTSK,"Netskope, Inc.",17.21,USD,84.26124197002143,14.73333333333334,-0.462695199537295,6.292230430812755,7298770,5749326.133333334,0.902715226385455,7031795095.381724,USD,29.154124550533506,30.401356919117745,Technology services,Packaged software,2026-12-11
SMCI,"Super Micro Computer, Inc.",40.35,USD,79.17406749555951,8.76010781671159,9.49796472184532,5.193768808638733,61936965,48761654.8,1.6913511861550032,26508552512.515606,USD,93.1552702482286,77.78535103837868,Electronic technology,Computer processing hardware,2026-11-03
CXW,"CoreCivic, Inc.",35.54,USD,78.50326469110999,6.470940683043728,1.7463498425422257,3.52711230806336,1248735,1775040.6666666667,0.6499489377325564,3514674794.6470084,USD,27.26896026311633,24.34834452402156,Commercial services,Miscellaneous commercial services,2026-11-09
SOPH,SOPHiA GENETICS SA,8.53,USD,78.07933194154488,13.430851063829785,6.959247648902818,5.264696030815628,1210494,622473.5,1.681160877546718,726140385.354232,USD,27.217158762117215,23.646825852835395,Technology services,Packaged software,2026-11-10
ZETA,Zeta Global Holdings Corp.,30.37,USD,76.56976744186048,6.337535014005611,-1.555915721231768,4.546568512159546,5697475,7156526.8,1.0280018095798138,7623282939.462561,USD,43.5491923927351,35.90911804427817,Technology services,Packaged software,2026-11-10
GRAL,"GRAIL, Inc.",79.95,USD,68.35123183828173,14.39404778938332,6.443882305951276,4.703788081836826,1528571,826662.4,1.905240707911436,3571065362.805885,USD,25.723047490434393,23.068846110883566,Health technology,Medical specialties,2026-11-18
SABR,Sabre Corporation,2.32,USD,66.90647482014388,9.43396226415093,0,5.969211822660082,7825491,4586833.7,1.2541369699923004,936313046.9999999,USD,3.6108616908414333,-3.0310165384390615,Technology services,Packaged software,2026-10-29
ESTC,Elastic N.V.,88.97,USD,64.75925925925925,5.7781476637736295,4.633658708691048,5.212366929462421,1996164,2863335.466666667,0.8427622632944536,9341074011.674938,USD,15.128055710735683,16.180880938443646,Technology services,Packaged software,2026-12-02
SAIL,"SailPoint, Inc.",20.19,USD,63.879870129870135,8.315450643776828,-0.8349705304518574,6.00491756881063,4713516,3919923.033333333,0.9132327764805509,11526705975.50393,USD,16.815769465007826,20.133538512915287,Technology services,Packaged software,2026-12-15
S,"SentinelOne, Inc.",23.19,USD,61.26564673157162,7.1131639722863875,0.08631851532153463,4.9309739419701035,14573200,8581803.033333333,1.604846916961572,8071259427.688822,USD,20.562136896479107,21.085189132238828,Technology services,Packaged software,2026-12-08
