Symbol,Description,Price,Price - Currency,"Performance %, 3 months","Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
USDE,StablecoinX Inc.,7.71,USD,663.3663366336633,-20.923076923076923,156.14617940199338,24.354838709677416,17.897211413748334,14155768,7316732.3,4.31428910422693,209612758.62096772,USD,,,Technology services,Packaged software,
XHLD,"TEN Holdings, Inc.",9.72,USD,584.5070422535213,614.7058823529412,38.85714285714287,0.7253886010362723,17.100455614344494,5717155,8124251.333333333,1.54082228844527,116420748.02487047,USD,-34.49820788530466,,Commercial services,Miscellaneous commercial services,2026-11-16
NWGL,CL Workshop Group Limited,1.61,USD,524.0310077519381,74.90494296577948,336.31436314363145,3.8709677419354875,17.155944986690308,389015,1568662.2333333334,0.1913686522292703,44722402,USD,,-32.131740216615405,Non-energy minerals,Forest products,
CYPH,Cypherpunk Technologies Inc.,3.07,USD,308.6794462193823,320.54794520547944,332.3943661971831,25.819672131147538,12.900651465798068,25944367,11301034.5,1.5732874296955464,330836658.93032783,USD,,,Health technology,Biotechnology,2026-11-16
HELP,Cybin Inc.,14.02,USD,203.46320346320343,190.26915113871635,21.28027681660899,4.083147735708975,6.405237415936406,3035336,1719193.0999999999,2.1715376340185832,1369504.8,USD,,,Health technology,Pharmaceuticals: major,2026-11-16
SWVL,Swvl Holdings Corp,4.43,USD,197.3154362416107,189.54248366013067,214.18439716312054,4.728132387706839,27.635117703966465,339588,3047005.033333333,0.5315237929475758,44142043.79432623,USD,,40.45086050958886,Transportation,Other transportation,2027-05-04
RCEL,"Avita Medical, Inc.",11.22,USD,179.80049875311724,177.72277227722776,41.30982367758186,7.368421052631592,4.998981410746177,368181,629876.8,1.257376625931299,346999222.1052632,USD,17.830383320999697,0.9962074677925217,Health technology,Medical specialties,2026-11-05
HOWL,"Werewolf Therapeutics, Inc.",0.963,USD,169.672360683282,17.439024390243905,140.9306980235176,4.787812840043518,5.995772140631833,570025,13739964.2,0.5811503090564532,46800904.064200215,USD,,,Health technology,Pharmaceuticals: major,2026-11-05
IOVA,"Iovance Biotherapeutics, Inc.",10.02,USD,152.39294710327454,158.91472868217053,43.14285714285713,1.5197568389057787,4.779441117764359,24000763,17568270.266666666,1.8269016400556581,4538773731.544073,USD,65.65419001868162,34.52396232274092,Health technology,Biotechnology,2026-11-05
TJGC,TJGC Group Limited,11.01,USD,144.66666666666666,561.2612612612612,182.30769230769232,-0.0907441016333919,8.459711950175155,3304315,1836020.8666666667,1.558933362848338,111201260.76315789,USD,,-5.896746970571368,Electronic technology,Electronic equipment/Instruments,
BNC,CEA Industries Inc.,5.42,USD,144.14414414414412,69.90595611285266,114.22924901185772,13.865546218487399,8.816684238270982,1617738,3273394.8,0.1748471247640195,223162282.94117644,USD,-4.568460309003729,187.74798884245592,Producer manufacturing,Trucks/Construction/Farm machinery,2026-12-30
TXG,"10x Genomics, Inc.",76.97,USD,133.31312518945134,317.8610206297502,35.03508771929825,5.902586681342862,5.4325340113959575,3140648,3031393.466666667,1.2072492274622515,10028511207.059988,USD,-12.649501468989289,-4.27563284952193,Health technology,Biotechnology,2026-11-04
TEAM,Atlassian Corporation,192.53,USD,130.18890483022477,164.0652859690029,21.408752680035306,1.1824679419802397,4.3517563496599365,2474962,4671384.266666667,0.8206958871827252,48736816749.90666,USD,27.603326919111804,26.019652929417052,Technology services,Packaged software,2026-10-29
LIFE,Ethos Technologies Inc.,36.4,USD,128.9308176100629,260.7532210109019,6.870229007633577,-5.577172503242539,7.214462323390874,3230431,1523559.7,2.1915608215044977,2320820483.351492,USD,113.35299215522964,83.24085876383994,Technology services,Packaged software,2026-12-02
BRR,"ProCap Financial, Inc.",3.44,USD,127.81456953642385,23.297491039426518,93.25842696629213,5.846153846153845,6.322674418604645,3200852,1239992.0333333334,1.640265422692525,303991339.32307696,USD,,,Technology services,Internet software/Services,
CDNA,"CareDx, Inc.",54.28,USD,126.82824905975762,208.40909090909088,18.826619964973734,1.363211951447253,4.198902516054403,804588,1045470.5666666667,0.8223791027961612,2808133552.8268914,USD,52.22602937274312,34.40553244177381,Health technology,Medical specialties,2026-11-10
