Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
XHLD,"TEN Holdings, Inc.",9.72,USD,614.7058823529412,38.85714285714287,0.7253886010362723,17.100455614344494,5718555,8124251.333333333,1.54082228844527,116420748.02487047,USD,-34.49820788530466,,Commercial services,Miscellaneous commercial services,2026-11-16
TJGC,TJGC Group Limited,11.01,USD,561.2612612612612,182.30769230769232,-0.0907441016333919,8.459711950175155,3304315,1836020.8666666667,1.558933362848338,111201260.76315789,USD,,-5.896746970571368,Electronic technology,Electronic equipment/Instruments,
QMCO,Quantum Corporation,24.94,USD,383.3333333333333,4.61409395973155,4.6579941250524675,7.367882919005614,1428401,1956142.1333333333,1.5134340487458076,982885392.6739405,USD,25.692996920013687,10.898127340823969,Electronic technology,Computer peripherals,2026-11-13
CYPH,Cypherpunk Technologies Inc.,3.07,USD,320.54794520547944,332.3943661971831,25.819672131147538,12.900651465798068,25944367,11301034.5,1.5732874296955464,330836658.93032783,USD,,,Health technology,Biotechnology,2026-11-16
TXG,"10x Genomics, Inc.",76.97,USD,317.8610206297502,35.03508771929825,5.902586681342862,5.4325340113959575,3140648,3031393.466666667,1.2072492274622515,10028511207.059988,USD,-12.649501468989289,-4.27563284952193,Health technology,Biotechnology,2026-11-04
LIFE,Ethos Technologies Inc.,36.4,USD,260.7532210109019,6.870229007633577,-5.577172503242539,7.214462323390874,3230431,1523559.7,2.1915608215044977,2320820483.351492,USD,113.35299215522964,83.24085876383994,Technology services,Packaged software,2026-12-02
CDNA,"CareDx, Inc.",54.28,USD,208.40909090909088,18.826619964973734,1.363211951447253,4.198902516054403,804588,1045470.5666666667,0.8223791027961612,2808133552.8268914,USD,52.22602937274312,34.40553244177381,Health technology,Medical specialties,2026-11-10
PCLA,PicoCELA Inc.,7.04,USD,197.03388042698623,2.9239766081871372,-2.086230876216973,18.226156655844246,60195,826647.3333333334,0.04513064720699436,69123257,USD,,,Electronic technology,Computer communications,
HELP,Cybin Inc.,14.02,USD,190.26915113871635,21.28027681660899,4.083147735708975,6.405237415936406,3035336,1719193.0999999999,2.1715376340185832,1369504.8,USD,,,Health technology,Pharmaceuticals: major,2026-11-16
SWVL,Swvl Holdings Corp,4.43,USD,189.54248366013067,214.18439716312054,4.728132387706839,27.635117703966465,339588,3047005.033333333,0.5315237929475758,44142043.79432623,USD,,40.45086050958886,Transportation,Other transportation,2027-05-04
RCEL,"Avita Medical, Inc.",11.22,USD,177.72277227722776,41.30982367758186,7.368421052631592,4.998981410746177,368181,629876.8,1.257376625931299,346999222.1052632,USD,17.830383320999697,0.9962074677925217,Health technology,Medical specialties,2026-11-05
ASST,"Strive, Inc.",28.28,USD,174.2967992240543,114.56752655538698,3.17402407880336,7.1124217013537505,9652796,8491171.066666668,0.975425931770985,2637465372.608537,USD,-19.196116796241466,650.3060458871381,Finance,Financial conglomerates,2026-11-13
FGI,FGI Industries Ltd.,9.9,USD,172.72727272727272,11.48648648648648,9.03083700440529,7.826984126984122,44856,3627400.1,0.8059884930660122,19119582.15859031,USD,2.8623929214091373,-5.297515246984658,Producer manufacturing,Building products,2026-11-11
TEAM,Atlassian Corporation,192.53,USD,164.0652859690029,21.408752680035306,1.1824679419802397,4.3517563496599365,2474962,4671384.266666667,0.8206958871827252,48736816749.90666,USD,27.603326919111804,26.019652929417052,Technology services,Packaged software,2026-10-29
CMPS,COMPASS Pathways Plc - American Depository Shares,15,USD,162.69702276707528,10.701107011070105,8.695652173913038,5.709190476190358,4957425,2601476.1666666665,1.7942187605410815,1910980170,USD,,,Health technology,Biotechnology,2026-10-29
IOVA,"Iovance Biotherapeutics, Inc.",10.02,USD,158.91472868217053,43.14285714285713,1.5197568389057787,4.779441117764359,24000763,17568270.266666666,1.8269016400556581,4538773731.544073,USD,65.65419001868162,34.52396232274092,Health technology,Biotechnology,2026-11-05
EVC,Entravision Communications Corporation,7.77,USD,152.27272727272725,-12.104072398190048,-1.5209125475285186,5.103787460930272,1131589,1563031.3333333333,1.040307049849542,717080128.4220532,USD,126.2381496004368,71.38218923933209,Consumer services,Broadcasting,2026-10-29
CRSR,"Corsair Gaming, Inc.",13.51,USD,152.05223880597012,12.865497076023384,2.6595744680851037,3.977054034048919,794012,1779788.1,0.7336451123943033,1461470763.8882978,USD,-1.8046808616984056,3.1101440380085306,Technology services,Packaged software,2026-11-10
XRX,Xerox Holdings Corporation,3.62,USD,151.3888888888889,20.66666666666667,4.02298850574713,5.530189423835917,3669364,2298719,1.4083460694960779,475358544.09195405,USD,21.95431472081218,25.639779721412374,Electronic technology,Computer peripherals,2026-10-27
ARCT,Arcturus Therapeutics Holdings Inc.,16.93,USD,150.8148148148148,110.83437110834372,8.525641025641026,8.327187579107271,1301428,1292397.0666666667,1.5844514286723048,481202569.67371786,USD,-96.4096287229757,-82.94748729532144,Health technology,Pharmaceuticals: major,2026-11-11
SDGR,"Schrodinger, Inc.",30.24,USD,147.2608340147179,74.69670710571924,26.36857501044713,5.389503023431604,8904235,1510305.8666666667,6.231960406539298,2262122180.5599666,USD,7.54213919173104,8.87620472685854,Technology services,Packaged software,2026-11-11
NEO,"NeoGenomics, Inc.",19.89,USD,144.04907975460122,24.002493765586042,5.015839493136216,4.047008547008519,2002381,1673020.9333333333,1.2950312019205241,2555376441.1108766,USD,11.209397231566756,11.187932482961859,Health services,Medical/Nursing services,2026-11-10
OKTA,"Okta, Inc.",190.02,USD,136.46092583374815,32.32590529247912,1.0099936210929223,4.646281594418671,3664354,3789591.2,0.9909783169794437,33219439050.353394,USD,10.576923076923077,11.219688744118711,Technology services,Packaged software,2026-12-08
AVAH,Aveanna Healthcare Holdings Inc.,13.97,USD,131.67495854063017,10.173501577287073,-2.0336605890603026,3.758257490540952,3024747,3628969.3666666667,0.9519160068576414,3049520847.7994394,USD,13.727349364688163,19.52305030325963,Health services,Medical/Nursing services,2026-11-05
SGMT,Sagimet Biosciences Inc. - Series A,11.17,USD,130.78512396694217,7.300672430355425,6.787762906309743,4.514004348382158,1018543,1134676.5,1.037631476161767,687973257.627151,USD,,,Health technology,Pharmaceuticals: major,2026-11-12
PLSE,"Pulse Biosciences, Inc",50.61,USD,125.43429844097996,8.141025641025646,2.0157226365652083,8.878044993931269,571311,589813.2666666667,0.7029362310202875,3609637282.8165693,USD,,,Health technology,Medical specialties,2026-11-16
INDP,"Indaptus Therapeutics, Inc.",3.93,USD,120.7865168539326,293,22.42990654205608,9.732642675390796,895803,1416044.6,0.3673709423188952,523642343.0654205,USD,,,Health technology,Pharmaceuticals: major,2026-11-17
GTLB,GitLab Inc.,50.27,USD,119.80760822037604,24.18478260869567,3.0756612671724417,4.402853164341194,3887000,5502719.033333333,0.5625611651392872,8375736128.3375025,USD,21.31462959823699,22.987433955710536,Technology services,Packaged software,2026-12-07
PURR,Hyperliquid Strategies Inc,12.83,USD,117.82682512733447,84.07460545193688,12.150349650349655,9.026166351185834,27318967,22404624.233333334,1.2342382225863835,3052504263.4833922,USD,,,Finance,Financial conglomerates,2026-12-02
PUBM,"PubMatic, Inc.",17.33,USD,112.37745098039213,0.3474232773595757,2.848664688427281,4.148297749567254,1101389,781855.9666666667,1.9233206618286889,789382625.1643916,USD,10.546451930515508,-1.0410392597054154,Technology services,Internet software/Services,2026-11-10
PD,"PagerDuty, Inc.",14.44,USD,111.42020497803807,22.372881355932194,-0.2762430939226583,3.926691729323116,1096526,1451313.9666666666,0.7177289173684185,1135704113.2265193,USD,0.8305580539822219,2.300416866553076,Technology services,Packaged software,2026-11-26
MGNI,"Magnite, Inc.",25.63,USD,104.2231075697211,5.690721649484531,7.779646761984852,3.9644389944819314,6829971,2729592.733333332,3.1808561941848765,3675961424.719091,USD,11.24489419149378,8.315889962252253,Technology services,Packaged software,2026-11-11
CLMT,"Calumet, Inc",59.05,USD,103.48035837353548,20.264765784114044,1.7927943458024465,3.9542397483972787,1293321,1299347.5333333334,0.9829063109342808,5190390420.118945,USD,40.76563413208652,12.799724842767295,Energy minerals,Oil refining/Marketing,2026-11-06
ATRC,"AtriCure, Inc.",59.12,USD,101.77474402730374,30.70970594738006,3.4651732586629276,3.492883723178096,1503637,883901.0666666667,1.1980361805035007,3007215319.738187,USD,12.828799976494611,13.936705164157729,Health technology,Medical specialties,2026-11-04
