Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
QMCO,Quantum Corporation,25.09,USD,386.2403100775194,7.821229050279331,0.6014434643143487,7.096054204862481,1833718,1999745.4333333333,1.8388496777958248,988796917.1022453,USD,25.692996920013687,10.898127340823969,Electronic technology,Computer peripherals,2026-11-13
ABCL,AbCellera Biologics Inc.,12.63,USD,257.7903682719547,9.826086956521747,-0.7855459544383319,4.999377898427864,5419347,8245747.433333334,1.3423739156516548,4092718050.8389626,USD,-76.29360805425522,101.28056941274917,Health technology,Biotechnology,2026-11-10
RCEL,"Avita Medical, Inc.",11.02,USD,172.77227722772278,12.105798575788397,-1.7825311942959097,5.073502722323122,359066,628695.4666666667,1.3023014582007244,340813867.35650617,USD,17.830383320999697,0.9962074677925217,Health technology,Medical specialties,2026-11-05
HPE,Hewlett Packard Enterprise Company,60.76,USD,170.88720463664734,9.103968396480518,-0.4587155963302771,5.823815009875071,25778924,22948321.00000002,0.7974225929099046,80656757699.35321,USD,32.37339708758966,26.63381899522399,Electronic technology,Computer processing hardware,2026-12-03
CMPS,COMPASS Pathways Plc - American Depository Shares,15.19,USD,166.0245183887916,9.045226130653264,1.2666666666666633,5.469952036113898,3565624,2606562.6,1.1625584238244884,2077152330,USD,,,Health technology,Biotechnology,2026-10-29
OABI,"OmniAb, Inc.",4.47,USD,142.93478260869566,13.164556962025305,0.6756756756756612,6.783317353787131,1861152,2220342.1333333333,1.395383569437043,649895078.9391891,USD,244.23915832691816,67.00829461067443,Commercial services,Miscellaneous commercial services,2026-11-17
PGEN,"Precigen, Inc.",7.78,USD,138.65030674846628,11.621233859397426,-1.1435832274459956,3.600716121924409,8290374,4829152.166666667,2.1597618106417737,2785514187.1689963,USD,6322.663551401869,1875.0460829493086,Health technology,Biotechnology,2026-11-05
CRWD,"CrowdStrike Holdings, Inc.",237.65,USD,124.37009500206524,11.374074421220362,-3.2763532763532695,5.102975564305192,19315651,10895947.9,1.6770883289569736,243338105632.04276,USD,25.830401932671315,24.303575451578887,Technology services,Packaged software,2026-12-01
HNGE,"Hinge Health, Inc.",94.9,USD,114.17287294064545,6.2115277000559725,0.190033783783791,4.4330046665663305,4862870,1919394.6333333333,2.72832720065136,7657900489.660051,USD,52.99788638226286,49.76497210863696,Technology services,Packaged software,2026-11-03
AYA,Aya Gold & Silver Inc.,28.46,USD,113.34332833583208,8.171797795515023,-1.2491325468424685,5.073561891376344,4010600,1237737.8,3.2308321894192784,4099269782.4911933,USD,140.19103550703832,249.71007353483225,Non-energy minerals,Precious metals,2026-11-17
