Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
TJGC,TJGC Group Limited,16.84,USD,911.4114114114113,279.2792792792792,52.95186194368756,7.874278927723107,2544386,1883769.5333333334,1.1144417137075293,170084396.14532244,USD,,-5.896746970571368,Electronic technology,Electronic equipment/Instruments,
XHLD,"TEN Holdings, Inc.",9.84,USD,623.5294117647059,52.32198142414861,1.2345679012345598,15.382113821138196,6788598,6052431.8,1.610351895179027,117858049.28395061,USD,-34.49820788530466,,Commercial services,Miscellaneous commercial services,2026-11-16
CYPH,Cypherpunk Technologies Inc.,3.6,USD,393.1506849315069,344.4444444444444,17.26384364820848,11.953769841269848,29370997,12259992.166666666,1.5714358570057534,387951764.9511401,USD,,,Health technology,Biotechnology,2026-11-16
QMCO,Quantum Corporation,25.09,USD,386.2403100775194,7.821229050279331,0.6014434643143487,7.096054204862481,1833718,1999745.4333333333,1.8388496777958248,988796917.1022453,USD,25.692996920013687,10.898127340823969,Electronic technology,Computer peripherals,2026-11-13
TXG,"10x Genomics, Inc.",76.6,USD,315.8523344191096,31.007354198734387,-0.48070676887099456,5.3369171950765155,2884564,3043788.033333333,1.0469179412384477,9980303591.248537,USD,-12.649501468989289,-4.27563284952193,Health technology,Biotechnology,2026-11-04
LIFE,Ethos Technologies Inc.,36,USD,256.788899900892,4.742508001163814,-1.098901098901095,7.33430555555555,2684908,1525930.5,1.6015800411831935,2295317103.626374,USD,113.35299215522964,83.24085876383994,Technology services,Packaged software,2026-12-02
CDNA,"CareDx, Inc.",53.83,USD,205.8522727272727,14.89861259338313,-0.8290346352247657,4.042926143149156,1383987,1065338.3333333333,1.4174160488029943,2784853129.441231,USD,52.22602937274312,34.40553244177381,Health technology,Medical specialties,2026-11-10
PCLA,PicoCELA Inc.,6.95,USD,193.23657229652758,9.968354430379744,-1.2784090909090888,18.424768756423532,67892,821187.6666666666,0.05075216621042892,67681186,USD,,,Electronic technology,Computer communications,
ASST,"Strive, Inc.",30.09,USD,191.85257032007758,132.35521235521236,6.400282885431395,6.411622276029008,16078035,8958828.466666667,1.6225144163593823,2873269575.7987976,USD,-19.196116796241466,650.3060458871381,Finance,Financial conglomerates,2026-11-13
SWVL,Swvl Holdings Corp,4.27,USD,179.0849673202614,196.54837141468158,-3.6117381489842018,28.53680160588825,145174,3051703.466666667,0.27397265444388874,42547747.02934537,USD,,40.45086050958886,Transportation,Other transportation,2027-05-04
RCEL,"Avita Medical, Inc.",11.02,USD,172.77227722772278,12.105798575788397,-1.7825311942959097,5.073502722323122,359066,628695.4666666667,1.3023014582007244,340813867.35650617,USD,17.830383320999697,0.9962074677925217,Health technology,Medical specialties,2026-11-05
CMPS,COMPASS Pathways Plc - American Depository Shares,15.19,USD,166.0245183887916,9.045226130653264,1.2666666666666633,5.469952036113898,3565674,2606564.2666666666,1.1625747261382464,2077152330,USD,,,Health technology,Biotechnology,2026-10-29
IOVA,"Iovance Biotherapeutics, Inc.",10.25,USD,164.8578811369509,42.36111111111111,2.295409181636731,4.714006968641008,22621829,15881411.833333334,1.5799042289485286,4642957426.946109,USD,65.65419001868162,34.52396232274092,Health technology,Biotechnology,2026-11-05
TEAM,Atlassian Corporation,192.02,USD,163.36579344397205,18.8169048944991,-0.26489378278709336,4.186617874626302,8901337,4704553.666666667,3.0601004208484333,48607715955.492966,USD,27.603326919111804,26.019652929417052,Technology services,Packaged software,2026-10-29
HELP,Cybin Inc.,12.37,USD,156.10766045548652,4.124579124579111,-11.768901569186879,8.34230280632866,5636629,1796718.0999999999,3.7070896030371063,1369313.1,USD,,,Health technology,Pharmaceuticals: major,2026-11-16
FGI,FGI Industries Ltd.,9.265,USD,155.23415977961437,2.2626931567328925,-6.414141414141413,8.609744815357349,19250,3627798.8333333335,0.33059582813825605,17893224.972727273,USD,2.8623929214091373,-5.297515246984658,Producer manufacturing,Building products,2026-11-11
EVC,Entravision Communications Corporation,7.8,USD,153.24675324675323,-8.558030480656502,0.3861003861003893,4.999175824175781,1332429,1564457.8333333333,1.2549125498318658,719848788.1853284,USD,126.2381496004368,71.38218923933209,Consumer services,Broadcasting,2026-10-29
CRSR,"Corsair Gaming, Inc.",13.38,USD,149.62686567164178,17.989417989417998,-0.9622501850481052,4.049007046764965,1492999,1745331.1,1.4156920225843328,1447407800.464841,USD,-1.8046808616984056,3.1101440380085306,Technology services,Packaged software,2026-11-10
NEO,"NeoGenomics, Inc.",19.91,USD,144.29447852760737,22.90123456790124,0.10055304172951016,3.961792351295069,4398121,1756222.8666666667,2.8059276557585138,2557945799.5882354,USD,11.209397231566756,11.187932482961859,Health services,Medical/Nursing services,2026-11-10
PLSE,"Pulse Biosciences, Inc",53.87,USD,139.95545657015592,16.930757542869543,6.4414147401699235,8.613262085974249,847839,609172.4333333333,1.098316005878661,3842148989.9494176,USD,,,Health technology,Medical specialties,2026-11-16
