Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
APPS,"Digital Turbine, Inc.",12.05,USD,302.3372287145242,12.511671335200745,13.039399624765483,6.22252519264974,3474219,2731074,1.3557747916710567,1458245798.935272,USD,26.77619418602876,19.240509849178554,Technology services,Packaged software,2026-11-11
ABCL,AbCellera Biologics Inc.,12.66,USD,273.4513274336283,9.420916162489196,0.23752969121139636,4.832317761227781,4421911,8166326.166666667,1.04001044453039,4102439655.985748,USD,-76.29360805425522,101.28056941274917,Health technology,Biotechnology,2026-11-10
AMC,"AMC Entertainment Holdings, Inc.",2.89,USD,189,14.682539682539687,7.0370370370370345,5.446119624320338,54857126,22761114.433333334,1.8481518258038494,2579627380.7000003,USD,14.221331997996995,6.408169908047848,Consumer services,Movies/Entertainment,2026-11-11
CMPS,COMPASS Pathways Plc - American Depository Shares,15.01,USD,182.67419962335217,8.610709117221415,-1.1849901250822892,5.613495764728161,3448194,2608677.966666667,1.0637513047418952,2103462868,USD,,,Health technology,Biotechnology,2026-10-29
TEAM,Atlassian Corporation,195.67,USD,179.5285714285714,12.312019285960275,1.9008436621185172,3.9259982550797585,3178967,4141074.466666667,0.9178987494329844,49531674059.45292,USD,27.603326919111804,26.019652929417052,Technology services,Packaged software,2026-10-29
OABI,"OmniAb, Inc.",4.58,USD,171.00591715976333,6.264501160092819,2.4608501118568307,6.71397379912662,1363889,2176465.066666667,1.0341029257258814,665887982.818792,USD,244.23915832691816,67.00829461067443,Commercial services,Miscellaneous commercial services,2026-11-17
PLSE,"Pulse Biosciences, Inc",53.31,USD,149.57865168539328,12.302506846429331,-1.0395396324484782,8.707747139373554,382209,598082,0.4850145209065269,3802208207.7794695,USD,,,Health technology,Medical specialties,2026-11-16
FIVN,"Five9, Inc.",37.01,USD,139.54692556634305,14.866542520173802,13.982137357560823,5.091867062955927,4044177,1991876.1666666667,1.8342722303701546,2765518083.4086847,USD,10.299397392584433,8.86775015011539,Technology services,Packaged software,2026-11-09
PANW,"Palo Alto Networks, Inc.",371.76,USD,132.78647463994992,5.493757094211128,2.2498487265526177,4.745469427280277,5381923,6414208.93333334,0.7756140178141855,304099668768.87665,USD,34.447817687182116,24.491677059046793,Technology services,Packaged software,2026-11-12
AGEN,Agenus Inc.,8.33,USD,131.3888888888889,9.894459102902374,6.114649681528668,5.949236837592206,1299357,1075508.9999999974,1.2501718634286845,376198745.8484077,USD,34.35833560390799,30.467229072031166,Health technology,Biotechnology,2026-11-10
SGMT,Sagimet Biosciences Inc. - Series A,10.8,USD,129.7872340425532,5.675146771037182,-2.6149684400360607,5.058862433862455,753262,1135652.8333333333,0.7728670082515128,665184535.4012625,USD,,,Health technology,Pharmaceuticals: major,2026-11-12
HNGE,"Hinge Health, Inc.",94.45,USD,129.35891209324916,10.210035005834305,-0.47418335089568264,4.148975270362294,1125318,1871585.6,0.5261216162582771,7621588024.734457,USD,52.99788638226286,49.76497210863696,Technology services,Packaged software,2026-11-03
PUBM,"PubMatic, Inc.",17.88,USD,120.19704433497539,8.891595615103514,1.8803418803418706,3.86129753914993,745456,710026,1.2259047398527578,814435107.4393163,USD,10.546451930515508,-1.0410392597054154,Technology services,Internet software/Services,2026-11-10
RPD,"Rapid7, Inc.",12.47,USD,116.86956521739133,5.767599660729444,4.177109440267335,6.817275747508589,1480324,2221572.1,0.6149046090845647,840486028.9298246,USD,-1.5453352817318962,0.06558634307619825,Technology services,Information technology services,2026-11-04
DRTS,Alpha Tau Medical Ltd.,15.5,USD,114.97919556171982,6.382978723404253,1.7060367454068228,4.4278801843318885,411392,618106.9333333333,0.7412906564568141,1433411412.4671917,USD,,,Health technology,Medical specialties,2026-11-24
MGNI,"Magnite, Inc.",25.31,USD,105.93978844589097,7.793867120953996,0.6361829025844936,4.070271490658718,1619754,2434392.366666665,0.7020346797990784,3630065530.8608346,USD,11.24489419149378,8.315889962252253,Technology services,Packaged software,2026-11-11
FTRE,Fortrea Holdings Inc.,20.02,USD,105.33333333333333,9.818979703784965,0.4515805318615146,4.871271585557256,1051221,1352354.2666666666,0.5932834007733864,1903901998.995484,USD,-4.519217232155428,-2.0852387049570145,Commercial services,Miscellaneous commercial services,2026-11-05
SNOW,Snowflake Inc.,339.39,USD,105.24310595065309,5.512031337437032,2.093673856150161,4.298030500098948,3690350,4898222.9,0.7828947318175835,119736785218.93817,USD,35.094749290155455,32.04008253830808,Technology services,Packaged software,2026-12-02
ADPT,Adaptive Biotechnologies Corporation,27.86,USD,95.78355586788474,9.814741821048475,-2.621461027612723,4.029817454620085,1458723,2032379.2,0.6253666259608156,4446340210.100665,USD,21.52550145213064,50.125233899890844,Health technology,Biotechnology,2026-11-05
AVTR,"Avantor, Inc.",15.1,USD,93.34186939820744,5.520614954577213,-2.706185567010309,3.1543992431409573,9194156,7378405.033333333,0.9754638093099703,10213018568.840204,USD,0.5286919329927527,-1.570704191544901,Health technology,Medical specialties,2026-10-23
BBNX,"Beta Bionics, Inc.",22.04,USD,92.82589676290463,13.025641025641022,0.6852444038373621,7.318933108633698,783292,1341322.9333333333,0.38849054383131176,1160226667.4974875,USD,37.76142525174282,52.53774576401528,Health technology,Medical specialties,2026-11-03
ILMN,"Illumina, Inc.",238.82,USD,89.22430869186277,12.438794726930313,-0.3338619480844718,4.108446887673929,3186923,2966317.8666666667,0.591997886217412,36061819265.46056,USD,9.839167455061496,4.974311069593647,Health technology,Medical specialties,2026-10-29
ZETA,Zeta Global Holdings Corp.,31.15,USD,86.08124253285544,10.814656705798644,3.0433344359907317,4.400871359779849,5228453,6758952.2,1.0579382666782728,7819073329.839562,USD,43.5491923927351,35.90911804427817,Technology services,Packaged software,2026-11-10
NXDR,"Nextdoor Holdings, Inc.",2.64,USD,84.61538461538463,10.460251046025103,6.0240963855421645,3.6309523809525066,2470572,2060231.1,0.9625185811709113,1021279790.8433734,USD,14.534588972700599,9.793008592322487,Technology services,Internet software/Services,2026-11-11
SMCI,"Super Micro Computer, Inc.",41.2,USD,82.05921343349539,10.886825460907016,5.397799948836018,5.128207350901562,48080264,50017059.766666666,1.1752694519172442,27066974299.76976,USD,93.1552702482286,77.78535103837868,Electronic technology,Computer processing hardware,2026-11-03
