Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
TJGC,TJGC Group Limited,16.9,USD,798.4582668793195,265.8008658008657,-3.868031854379976,9.224260355029594,77372,1873115.1666666667,0.03821224270433948,170690392.21843,USD,,-5.896746970571368,Electronic technology,Electronic equipment/Instruments,
XHLD,"TEN Holdings, Inc.",11.73,USD,756.2043795620438,54.342105263157904,12.141491395793494,13.896784800876844,2873201,3850992.8,0.6606982781816104,140495415.6080306,USD,-34.49820788530466,,Commercial services,Miscellaneous commercial services,2026-11-16
CYPH,Cypherpunk Technologies Inc.,3.73,USD,401.95128515677567,182.57575757575756,9.70588235294118,12.874569130601307,23791702,13695707.566666666,1.1691701211353946,401961153.85588235,USD,,,Health technology,Biotechnology,2026-11-16
QMCO,Quantum Corporation,25.65,USD,373.2472324723247,23.31730769230768,-1.7241379310344935,6.568281815650242,1101349,2004373.4333333333,0.9922737988034321,1010866510.8103447,USD,25.692996920013687,10.898127340823969,Electronic technology,Computer peripherals,2026-11-13
TXG,"10x Genomics, Inc.",80.7,USD,292.12827988338194,25.330020189470417,2.022756005056901,5.2467693397061765,3886019,2873993.3,1.3287890065712842,10514497017.030342,USD,-12.649501468989289,-4.27563284952193,Health technology,Biotechnology,2026-11-04
ABCL,AbCellera Biologics Inc.,12.65,USD,279.87987987987987,9.33448573898012,-0.07898894154818158,4.84178430265394,4273807,6774318.9,0.9513069129925322,4099199096.406003,USD,-76.29360805425522,101.28056941274917,Health technology,Biotechnology,2026-11-10
MRNA,"Moderna, Inc.",182.56,USD,246.01971190295683,37.149725790699414,5.562622874985547,5.8430457305621575,23791351,27262838.5,1.8177535461754237,72884501522.09552,USD,2.112676056338028,-27.61533463287849,Health technology,Biotechnology,2026-10-29
TWST,Twist Bioscience Corporation,164.6,USD,245.8709812985921,18.904861662934323,-0.7417234517276838,5.797496094428039,2313713,1734632,1.1440935642440753,10836016509.076763,USD,23.235162455625304,19.191328086829547,Health technology,Biotechnology,2026-11-13
PCLA,PicoCELA Inc.,7.21,USD,235.34883720930236,-2.567567567567573,8.421052631578942,17.779373885476595,35745,669147.1666666666,0.02662281492939238,63931803,USD,,,Electronic technology,Computer communications,
CDNA,"CareDx, Inc.",56.49,USD,214.3572621035059,20.21706746116195,3.9757040309221496,3.65883974407615,1815952,1078240.0333333334,1.8212571399228814,2922466322.161237,USD,52.22602937274312,34.40553244177381,Health technology,Medical specialties,2026-11-10
IOVA,"Iovance Biotherapeutics, Inc.",10.64,USD,197.20670391061452,17.180616740088112,4.416094210009824,4.910445757250168,15746877,15243323.8,1.0063368594616178,4819615875.595682,USD,65.65419001868162,34.52396232274092,Health technology,Biotechnology,2026-11-05
SWVL,Swvl Holdings Corp,4.05,USD,195.62043795620437,185.21126760563382,-5.373831775700944,30.086948853615507,109657,3061665.2666666666,0.22578076758913448,72072759.11214952,USD,,40.45086050958886,Transportation,Other transportation,2027-05-04
