Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
ABCL,AbCellera Biologics Inc.,12.31,USD,271.9033232628399,12.215132178669096,-2.6877470355731212,4.846234188232631,3854776,6290820.466666667,0.826285933710526,3989022921.803952,USD,-76.29360805425522,101.28056941274917,Health technology,Biotechnology,2026-11-10
TWST,Twist Bioscience Corporation,158.5,USD,240.20176003434213,9.032124922611265,-3.7059538274605073,5.7754393871113106,2133861,1770597.3666666667,1.0292612370065994,10434439011.989672,USD,23.235162455625304,19.191328086829547,Health technology,Biotechnology,2026-11-13
CDNA,"CareDx, Inc.",54.31,USD,213.20645905420992,12.443064182194627,-3.8590901044432635,3.8306941631375944,1907360,1125550.9,1.7335950110244742,2809685702.786511,USD,52.22602937274312,34.40553244177381,Health technology,Medical specialties,2026-11-10
OABI,"OmniAb, Inc.",4.79,USD,207.05128205128204,8.863636363636356,-2.6422764227642253,5.830599463167306,1050907,2156263.533333333,0.811410130923461,696420008.2113822,USD,244.23915832691816,67.00829461067443,Commercial services,Miscellaneous commercial services,2026-11-17
AMC,"AMC Entertainment Holdings, Inc.",2.87,USD,195.87628865979383,12.99212598425197,-3.36700336700337,5.546291687406684,21336311,23409756.333333336,0.7178139125037353,2561775267.710438,USD,14.221331997996995,6.408169908047848,Consumer services,Movies/Entertainment,2026-11-11
PANW,"Palo Alto Networks, Inc.",393.3,USD,166.55371060657404,10.458911419423695,5.000400459193213,4.22604700156185,6277214,6498338.966666674,0.8826550348219925,321719406290.574,USD,34.447817687182116,24.491677059046793,Technology services,Packaged software,2026-11-12
FIVN,"Five9, Inc.",37.68,USD,154.93910690121785,14.84303565985979,-2.509702457956013,5.48627540188048,2958493,2088618.8333333333,1.074237249806702,2815582858.5128074,USD,10.299397392584433,8.86775015011539,Technology services,Packaged software,2026-11-09
NEO,"NeoGenomics, Inc.",18.36,USD,138.75162548764627,9.61194029850746,-2.8057173107464326,4.219070961717964,2911359,1800683.5,1.378583852357528,2358808880.5124407,USD,11.209397231566756,11.187932482961859,Health services,Medical/Nursing services,2026-11-10
RPD,"Rapid7, Inc.",13.09,USD,137.78383287920073,9.356725146198823,1.8677042801556438,6.224271526792823,1355962,1985395.6,0.579987302370525,882274434.6459144,USD,-1.5453352817318962,0.06558634307619825,Technology services,Information technology services,2026-11-04
TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,12.54,USD,121.55477031802118,14.52054794520548,0.5613472333600522,6.104294827979056,2988221,1953721.8,1.0056273274024554,2414768992.729751,USD,-10.306336605887545,-3.8971338893977245,Process industries,Agricultural commodities/Milling,2026-11-11
STLN,"Starling Oncology, Inc.",6.82,USD,120,6.065318818040445,-3.262411347517724,5.509530791788805,1115377,1281959.4,0.7118257539196855,681883621.7787235,USD,34.623795929951086,38.37823062567157,Health services,Medical/Nursing services,2026-11-11
PUBM,"PubMatic, Inc.",17.455,USD,112.34793187347928,6.368068251066411,-1.7726505346088988,3.7343372754430106,745509,665987.5333333333,1.1445427157989665,795076385.5081598,USD,10.546451930515508,-1.0410392597054154,Technology services,Internet software/Services,2026-11-10
VIA,"Via Transportation, Inc.",29.54,USD,111.45311381531852,9.205175600739365,4.124074726824103,4.697601315407673,1076065,771522.7666666667,0.9696902684573133,2407675922.7543173,USD,26.671520446547746,29.132842927413442,Technology services,Packaged software,2026-11-12
GH,"Guardant Health, Inc.",176.31,USD,102.09766162310868,7.101202770015792,-0.47979227816662584,4.615770112707402,1431881,1996610.7,0.7728600589808161,23660126691.697674,USD,44.33232222260522,42.740716342783784,Health technology,Medical specialties,2026-10-29
ADPT,Adaptive Biotechnologies Corporation,27.89,USD,101.51734104046243,8.10077519379845,-0.6058446186742629,4.133586026737736,1079716,2024283.7,0.4149263039241524,4451127905.638632,USD,21.52550145213064,50.125233899890844,Health technology,Biotechnology,2026-11-05
OMER,Omeros Corporation,20.74,USD,99.42307692307689,8.586387434554958,-1.4726840855106995,4.091403774624569,1349371,2233040.2666666666,0.7114325567054618,1501333563.6864605,USD,,,Health technology,Pharmaceuticals: major,2026-11-11
SMCI,"Super Micro Computer, Inc.",41.44,USD,86.58262044124267,13.565360372704838,-0.24073182474723503,5.015771511307259,40832845,47329631.6,1.0428995296590318,27224646488.24651,USD,93.1552702482286,77.78535103837868,Electronic technology,Computer processing hardware,2026-11-03
S,"SentinelOne, Inc.",24.1,USD,85.2421214450423,14.434947768281116,1.0482180293501047,4.2833728512152005,7331499,8819368.633333333,0.7753413477366602,8387984245.706499,USD,20.562136896479107,21.085189132238828,Technology services,Packaged software,2026-12-08
ESTC,Elastic N.V.,91.28,USD,81.11111111111113,6.535947712418293,2.308899349921545,3.937977338174393,1520952,2851172.6666666665,0.7281228095186895,9583604132.933424,USD,15.128055710735683,16.180880938443646,Technology services,Packaged software,2026-12-02
HOOD,"Robinhood Markets, Inc.",122.7,USD,79.01955062737088,14.828505919236347,-1.2474849094567382,5.166847130050117,19054520,22571454.466666665,0.7936925961843972,110317396740.56258,USD,34.503510531594785,39.14134374128798,Finance,Investment banks/Brokers,2026-11-04
