Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
TJGC,TJGC Group Limited,23.28,USD,1174.0108356591693,403.8961038961039,37.751479289940846,8.703669612174773,392574,1794085.4333333333,0.21061552143911333,235128535.8532545,USD,,-5.896746970571368,Electronic technology,Electronic equipment/Instruments,
XHLD,"TEN Holdings, Inc.",12.08,USD,874.1935483870968,58.322411533420706,2.9838022165387863,14.369264427625335,2473658,3789619.8666666667,0.5385629671615578,144687514.12787724,USD,-34.49820788530466,,Commercial services,Miscellaneous commercial services,2026-11-16
CYPH,Cypherpunk Technologies Inc.,3.61,USD,455.38461538461536,97.2677595628415,-3.2171581769437028,13.91590819153147,19695580,14370577.3,0.9357228455632572,389029419.15549594,USD,,,Health technology,Biotechnology,2026-11-16
QMCO,Quantum Corporation,25.97,USD,410.21611001964635,21.867667761614268,1.247563352826512,7.174954617965786,3686500,1576167.1666666667,3.426327635737271,1023477680.7629632,USD,25.692996920013687,10.898127340823969,Electronic technology,Computer peripherals,2026-11-13
TXG,"10x Genomics, Inc.",75.62,USD,276.78126557050325,19.746634996041184,-6.294919454770753,5.892054256243665,3474666,2845458.6,1.1678280867100421,9852617715.980667,USD,-12.649501468989289,-4.27563284952193,Health technology,Biotechnology,2026-11-04
ABCL,AbCellera Biologics Inc.,12.31,USD,271.9033232628399,12.215132178669096,-2.6877470355731212,4.846234188232631,3854776,6290820.466666667,0.826285933710526,3989022921.803952,USD,-76.29360805425522,101.28056941274917,Health technology,Biotechnology,2026-11-10
PCLA,PicoCELA Inc.,7.25,USD,241.9811320754717,-3.973509933774832,0.5547850208044388,17.982758620689705,63944,662991.2666666667,0.047570921359264835,69315533,USD,,,Electronic technology,Computer communications,
MRNA,"Moderna, Inc.",182.11,USD,241.73390880090076,27.617379117028754,-0.24649430324276328,5.901998007483684,17717767,27642971.1,1.2252228390377007,72704843378.74113,USD,2.112676056338028,-27.61533463287849,Health technology,Biotechnology,2026-10-29
TWST,Twist Bioscience Corporation,158.5,USD,240.20176003434213,9.032124922611265,-3.7059538274605073,5.7754393871113106,2133861,1770597.3666666667,1.0292612370065994,10434439011.989672,USD,23.235162455625304,19.191328086829547,Health technology,Biotechnology,2026-11-13
CDNA,"CareDx, Inc.",54.31,USD,213.20645905420992,12.443064182194627,-3.8590901044432635,3.8306941631375944,1907360,1125550.9,1.7335950110244742,2809685702.786511,USD,52.22602937274312,34.40553244177381,Health technology,Medical specialties,2026-11-10
AMC,"AMC Entertainment Holdings, Inc.",2.87,USD,195.87628865979383,12.99212598425197,-3.36700336700337,5.546291687406684,21336311,23409756.333333336,0.7178139125037353,2561775267.710438,USD,14.221331997996995,6.408169908047848,Consumer services,Movies/Entertainment,2026-11-11
PURR,Hyperliquid Strategies Inc,13.94,USD,195.02645502645504,27.073837739288958,-0.07168458781361854,7.686769829883171,23180078,26313981.566666666,0.875775372654485,3316594732.2222223,USD,,,Finance,Financial conglomerates,2026-12-02
TEAM,Atlassian Corporation,195.08,USD,191.120728249515,15.22740696987596,3.4084283063874934,4.158843661208723,2408195,3883877.466666667,0.699518646399271,49382319456.54175,USD,27.603326919111804,26.019652929417052,Technology services,Packaged software,2026-10-29
