Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
AMC,"AMC Entertainment Holdings, Inc.",2.94,USD,203.09278350515464,10.526315789473676,1.0309278350515396,5.207725947521882,18205974,23544101.03333334,0.6029663323136404,2624257643.2164946,USD,14.221331997996995,6.408169908047848,Consumer services,Movies/Entertainment,2026-11-11
PURR,Hyperliquid Strategies Inc,12.85,USD,171.95767195767198,10.919292188174353,-8.80056777856636,8.324958310172313,31287980,27735390.4,1.1916786241188526,3057262794.3293114,USD,,,Finance,Financial conglomerates,2026-12-02
FIVN,"Five9, Inc.",35.77,USD,142.01623815967525,13.699936427209161,-2.427714129841772,5.847338152482126,1458859,2041468.0666666667,0.4832888630373741,2672860786.3576107,USD,10.299397392584433,8.86775015011539,Technology services,Packaged software,2026-11-09
HNGE,"Hinge Health, Inc.",95.57,USD,138.92499999999998,7.021276595744676,3.903022396173069,4.236573042945354,1026708,1856439.7666666666,0.49996199305590483,7711965933.855837,USD,52.99788638226286,49.76497210863696,Technology services,Packaged software,2026-11-03
TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,12.21,USD,115.72438162544171,8.823529411764708,-0.48899755501221454,6.19468819468821,998959,1992239.3666666667,0.33063985940046875,2351222477.1931543,USD,-10.306336605887545,-3.8971338893977245,Process industries,Agricultural commodities/Milling,2026-11-11
STLN,"Starling Oncology, Inc.",6.66,USD,114.83870967741935,7.246376811594205,2.3041474654377936,6.296868296868249,1118765,1299436.4666666666,0.6572975530116956,665886357.483871,USD,34.623795929951086,38.37823062567157,Health services,Medical/Nursing services,2026-11-11
VIA,"Via Transportation, Inc.",29.41,USD,110.5225483178239,8.085262771040057,-1.9012675116744506,4.714164278428132,865054,780363,0.7134709000809677,2397080084.470981,USD,26.671520446547746,29.132842927413442,Technology services,Packaged software,2026-11-12
GH,"Guardant Health, Inc.",177.25,USD,103.17514901421367,7.613381094044072,0.453386228393319,4.433721539391578,1578237,2000790.0666666667,0.775182501542028,23786270187.735905,USD,44.33232222260522,42.740716342783784,Health technology,Medical specialties,2026-10-29
AVTR,"Avantor, Inc.",15.25,USD,100.92226613965745,7.167955024595921,-0.8452535760728269,3.067213114754079,6529462,7704322.166666667,0.6706489170746698,10314472168.010405,USD,0.5286919329927527,-1.570704191544901,Health technology,Medical specialties,2026-10-23
SMCI,"Super Micro Computer, Inc.",43.26,USD,94.77712742008102,13.767258382642998,4.215851602023609,4.611551416683218,49069917,40512362.766666666,1.1988141145568525,28420321754.357502,USD,93.1552702482286,77.78535103837868,Electronic technology,Computer processing hardware,2026-11-03
NTAP,"NetApp, Inc.",201.145,USD,93.42725262044429,7.243015568351465,1.9798215372135473,3.5487406029054003,1352015,2407108.066666667,0.5678631337347365,39508702132.14964,USD,30.12202954399486,12.152935821574875,Electronic technology,Computer peripherals,2026-12-01
OMER,Omeros Corporation,20.08,USD,93.07692307692305,5.907172995780577,-0.2483854942871372,4.457100170745532,940446,1727410.7333333334,0.5093663800835571,1453557270.485842,USD,,,Health technology,Pharmaceuticals: major,2026-11-11
BBNX,"Beta Bionics, Inc.",21.51,USD,90.69148936170215,12.265135699373703,-1.1488970588235292,7.789964800425101,925979,1346574.0333333334,0.45991389481550554,1160383048.6681983,USD,37.76142525174282,52.53774576401528,Health technology,Medical specialties,2026-11-03
HOOD,"Robinhood Markets, Inc.",119.4,USD,74.20484388678143,8.441941782843651,-1.1753021023009333,4.838161043311862,13583749,22521624.366666667,0.5686760526407495,107350424919.22697,USD,34.503510531594785,39.14134374128798,Finance,Investment banks/Brokers,2026-11-04
DDD,3D Systems Corporation,3.57,USD,74.14634146341464,11.214953271028033,4.081632653061215,5.402160864345695,2273544,2227010.3666666667,0.8934447028164124,593144922.1836734,USD,-0.2730972816803391,-6.217853496620232,Technology services,Information technology services,2026-11-10
RGEN,Repligen Corporation,189.68,USD,67.39917041743888,5.313419576925209,-0.5087857330186198,3.217761493040841,1478602,1022604.1,1.4526329895197574,10704707935.981117,USD,11.93314543281094,16.491432675130127,Health technology,Pharmaceuticals: major,2026-11-03
PRGO,Perrigo Company plc,15.42,USD,65.45064377682404,6.3081695966907905,5.0408719346049065,4.17940522512441,4274623,2752498.6666666665,1.4020234080825857,2139821981.006812,USD,-3.1714475054435294,-4.181885431596479,Health technology,Pharmaceuticals: major,2026-11-11
BETA,"Beta Technologies, Inc.",23.85,USD,60.49798115746974,8.212341197822152,3.0237580993520643,6.612189278227142,1823933,3409246.566666667,0.32117568848096123,5579494169.734343,USD,52.70340660485468,,Electronic technology,Aerospace & defense,2026-12-03
INSW,"International Seaways, Inc.",105.64,USD,52.99058653149892,8.52681323197041,0.7534573199809311,3.896204089360062,498348,686003.0333333333,0.5188604203124648,5232487621.144875,USD,140.09793448203598,57.663130697337884,Transportation,Marine shipping,2026-11-10
FOSL,"Fossil Group, Inc.",6.2,USD,52.70935960591135,14.180478821362808,5.982905982905992,5.819124423963143,640471,744584.3,0.8379898062854044,366655904.1709402,USD,-4.855073778971632,-9.102232884295995,Consumer durables,Other consumer specialties,2026-11-11
SENS,"Senseonics Holdings, Inc.",10,USD,52.207001522070016,5.485232067510544,-3.2882011605415844,4.865785714285735,568575,715014.6333333333,0.6929323882259201,528740547.3887814,USD,117.8222289066025,90.62671797691038,Electronic technology,Electronic components,2026-11-10
CERT,"Certara, Inc.",9.11,USD,50.08237232289949,12.19211822660099,2.4746906636670287,4.047357691704574,2823188,2337922.966666667,1.0332344841791337,1389628410.6141727,USD,0.9907315171726796,0.6641939101181747,Technology services,Packaged software,2026-11-11
