Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
TJGC,TJGC Group Limited,26.24,USD,1335.9984676845618,306.8217054263566,-6.950354609929081,10.610028310104536,104925,1684015.5,0.06412231990244976,265024617.8496454,USD,,-5.896746970571368,Electronic technology,Electronic equipment/Instruments,
XHLD,"TEN Holdings, Inc.",12.95,USD,944.3548387096774,52.71226415094338,1.968503937007874,13.861720904578032,1283202,3089353.966666667,0.2978032196348932,155107893.88582677,USD,-34.49820788530466,,Commercial services,Miscellaneous commercial services,2026-11-16
CYPH,Cypherpunk Technologies Inc.,4.12,USD,533.8461538461538,157.5,0.980392156862746,12.48855755894593,19425439,15747680.566666666,0.9487397184884983,443989243.17647064,USD,,,Finance,Financial conglomerates,2026-11-16
QMCO,Quantum Corporation,31.68,USD,522.3968565815325,41.99910354101301,7.426246185147513,7.408842893217887,4025255,1569589.8666666667,2.2587290137386553,1248508784.9603255,USD,25.692996920013687,10.898127340823969,Electronic technology,Computer peripherals,2026-11-13
TXG,"10x Genomics, Inc.",85.71,USD,327.05530642750364,34.57371643900141,1.9022708358102418,6.093479673983737,3379498,2874391.8,1.0520443323868094,11167256050.5708,USD,-12.649501468989289,-4.27563284952193,Health technology,Biotechnology,2026-11-04
TWST,Twist Bioscience Corporation,182.83,USD,292.42326679544965,23.533783783783793,-0.652067597674286,6.0340050476242615,2689237,1894138.2333333334,1.155135203768682,12036141332.108244,USD,23.235162455625304,19.191328086829547,Health technology,Biotechnology,2026-11-13
ABCL,AbCellera Biologics Inc.,12.7,USD,283.68580060422954,3.9279869067103,0.395256916996039,5.10123734533192,3353323,5402735.2,0.6965621829173914,4115401389.6758885,USD,-76.29360805425522,101.28056941274917,Health technology,Biotechnology,2026-11-10
MRNA,"Moderna, Inc.",198.88,USD,273.20322762244325,28.975356679636842,2.0839749512370402,5.580001580278106,13679658,28161379.466666665,0.8422571882214259,79400032882.60672,USD,2.112676056338028,-27.61533463287849,Health technology,Biotechnology,2026-10-29
CDNA,"CareDx, Inc.",63.68,USD,267.2433679354095,26.979062811565306,3.764054098093535,4.2569880653266905,2337922,1229389.6666666667,1.857290063015712,3294435225.685514,USD,52.22602937274312,34.40553244177381,Health technology,Medical specialties,2026-11-10
NCPL,Netcapital Inc.,1.36,USD,243.43434343434345,218.65042174320527,7.086614173228353,14.993287815126044,13421799,40463751.96666667,0.38153376225681707,10673142.929133859,USD,-38.20686131960546,-8.996667536290383,Commercial services,Miscellaneous commercial services,2026-09-25
AMD,"Advanced Micro Devices, Inc.",630.59,USD,212.52911731179069,32.73622834529649,0.21135937450339143,3.300082915546201,17348482,20557818.633333333,0.6722859473095066,1029422410830.2238,USD,50.11060507482108,39.54391891891892,Electronic technology,Semiconductors,2026-11-03
AMC,"AMC Entertainment Holdings, Inc.",2.94,USD,203.09278350515464,10.526315789473676,1.0309278350515396,5.207725947521882,18205974,23544101.03333334,0.6029663323136404,2624257643.2164946,USD,14.221331997996995,6.408169908047848,Consumer services,Movies/Entertainment,2026-11-11
IOVA,"Iovance Biotherapeutics, Inc.",11,USD,200.54644808743168,31.894484412470025,1.8518518518518452,5.363571428571312,12563026,15283297.166666666,0.7463468733869557,4982685878.703703,USD,65.65419001868162,34.52396232274092,Health technology,Biotechnology,2026-11-05
OABI,"OmniAb, Inc.",4.61,USD,195.5128205128205,-1.810436634717784,-3.757828810020871,5.337775023241403,779029,2159846.433333333,0.6257151481202979,670249720.9018788,USD,244.23915832691816,67.00829461067443,Commercial services,Miscellaneous commercial services,2026-11-17
ASST,"Strive, Inc.",29.44,USD,194.40000000000003,42.0849420849421,-1.67000668002672,6.333608307453368,4372753,9984323.666666666,0.4247244710245011,2873260036.018704,USD,-19.196116796241466,650.3060458871381,Finance,Financial conglomerates,2026-11-13
TEAM,Atlassian Corporation,187.74,USD,180.1671392329503,15.903197925669849,-2.5284253154041867,4.283584098068883,1861067,3683482.966666667,0.5827603767145604,47524282263.497635,USD,27.603326919111804,26.019652929417052,Technology services,Packaged software,2026-10-29
PURR,Hyperliquid Strategies Inc,12.85,USD,171.95767195767198,10.919292188174353,-8.80056777856636,8.324958310172313,31287980,27735390.4,1.1916786241188526,3057262794.3293114,USD,,,Finance,Financial conglomerates,2026-12-02
CRWD,"CrowdStrike Holdings, Inc.",252.13,USD,171.94822704597544,37.96443228454172,-2.9036854469133977,4.520709271294247,7463024,11509170.933333334,0.5457349419468004,258164698117.79694,USD,25.830401932671315,24.303575451578887,Technology services,Packaged software,2026-12-01
OKTA,"Okta, Inc.",195.19,USD,155.98688524590165,52.4921875,-5.5410375532326706,4.970973337334361,3961096,4288369.166666667,0.8598751389963917,34123263116.30866,USD,10.576923076923077,11.219688744118711,Technology services,Packaged software,2026-12-08
CRSR,"Corsair Gaming, Inc.",13.66,USD,152.02952029520296,18.576388888888893,0.8118081180811766,4.005333612215053,969754,1261773.0666666667,0.8599464108614132,1477697346.184502,USD,-1.8046808616984056,3.1101440380085306,Technology services,Packaged software,2026-11-10
NEO,"NeoGenomics, Inc.",19.33,USD,151.36540962288683,15.817855002995788,-1.175869120654399,4.287894464562834,1813277,1892628.3333333333,0.7454317011996575,2483430059.1329246,USD,11.209397231566756,11.187932482961859,Health services,Medical/Nursing services,2026-11-10
SDGR,"Schrodinger, Inc.",28.85,USD,150.8695652173913,46.261089987325725,-2.037351443123932,7.029611289923249,1369620,1781975.7,0.40465400859103134,2158142386.804754,USD,7.54213919173104,8.87620472685854,Technology services,Packaged software,2026-11-11
GRAL,"GRAIL, Inc.",126.89,USD,148.80392156862746,56.88674579624136,1.3417458669435403,5.672207648919742,1286322,1108848.2333333334,0.6335475806880191,5667698271.998164,USD,25.723047490434393,23.068846110883566,Health technology,Medical specialties,2026-11-18
AGEN,Agenus Inc.,8.54,USD,148.25581395348837,2.891566265060222,0.47058823529410765,5.698394111743077,672244,1003434.6666666631,0.7151456596361381,385682752.59294116,USD,34.35833560390799,30.467229072031166,Health technology,Biotechnology,2026-11-10
PLSE,"Pulse Biosciences, Inc",51.63,USD,139.02777777777777,5.367346938775515,-0.3858769052672116,8.962577128469135,663462,604009.5333333333,1.0892300418150387,3753631751.505692,USD,,,Health technology,Medical specialties,2026-11-16
XRX,Xerox Holdings Corporation,3.32,USD,137.14285714285714,12.925170068027207,-0.15037593984963418,6.129948364888232,1863113,2394364.466666667,0.6510988347575388,435964193.41954887,USD,21.95431472081218,25.639779721412374,Electronic technology,Computer peripherals,2026-10-27
PS,Pershing Square Inc.,56.16,USD,133.99999999999997,33.74613003095974,7.421576128538629,7.012146418396411,345714,558960.2666666667,0.30154330364163556,22463999531.64193,USD,3.579385739939568,,Finance,Investment managers,2026-12-02
PD,"PagerDuty, Inc.",14.38,USD,131.56199677938812,22.38297872340426,-3.8127090301003244,3.5669084045299093,1624916,1609972.0666666667,1.006223052727699,1130985142.6234117,USD,0.8305580539822219,2.300416866553076,Technology services,Packaged software,2026-11-26
PUBM,"PubMatic, Inc.",18.6,USD,126.27737226277371,12.727272727272736,0.26954177897574505,3.541359447004643,827264,685151.5666666667,1.0255958862306427,847231154.1024259,USD,10.546451930515508,-1.0410392597054154,Technology services,Internet software/Services,2026-11-10
GTLB,GitLab Inc.,46.845,USD,125.21634615384615,15.070007369196752,-3.650761003702178,3.7430431666743513,3829147,5194575.8,0.9906590312528636,7805079503.498355,USD,21.31462959823699,22.987433955710536,Technology services,Packaged software,2026-12-07
DRK,DarkHorse Technologies Inc.,3.07,USD,124.08759124087588,22.31075697211156,0.6557377049180334,9.16589111214518,83823,541651.9333333333,0.15746956110734975,32448352.921311475,USD,-18.754141815550593,-10.312990490054654,Technology services,Information technology services,2026-11-16
INDP,"Indaptus Therapeutics, Inc.",3.85,USD,122.54335260115607,253.2110091743119,-3.749999999999998,16.369944341372936,568509,1547434.1666666667,0.4915744946655284,591288000.1875,USD,,,Health technology,Pharmaceuticals: major,2026-11-17
TWLO,Twilio Inc.,275.8,USD,121.8111629403249,25.3237606216204,-7.962357338316763,4.8503263234227445,4243456,2227032.4,1.527730825114247,42356047801.88547,USD,22.033416773510798,17.82384637960389,Technology services,Packaged software,2026-10-29
ILMN,"Illumina, Inc.",270,USD,119.51219512195122,22.29368602228463,-1.423877327491777,4.381206349206344,4993015,3251156.6,0.848062320996416,40769999091.12815,USD,9.839167455061496,4.974311069593647,Health technology,Medical specialties,2026-10-29
FTNT,"Fortinet, Inc.",173.46,USD,117.66846530304935,14.4950495049505,-2.9159903733139196,3.6697838941871743,2496440,4359676.50000003,0.5042073494253966,127269963749.11043,USD,25.63803680981595,18.768046198267566,Technology services,Information technology services,2026-10-29
TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,12.21,USD,115.72438162544171,8.823529411764708,-0.48899755501221454,6.19468819468821,1001459,1992322.7,0.3314673204359078,2351222477.1931543,USD,-10.306336605887545,-3.8971338893977245,Process industries,Agricultural commodities/Milling,2026-11-11
STLN,"Starling Oncology, Inc.",6.66,USD,114.83870967741935,7.246376811594205,2.3041474654377936,6.296868296868249,1118765,1299436.4666666666,0.6572975530116956,665886357.483871,USD,34.623795929951086,38.37823062567157,Health services,Medical/Nursing services,2026-11-11
NTSK,"Netskope, Inc.",17.67,USD,112.89156626506025,33.86363636363638,-4.8465266558966,5.493532217640961,5856982,6370569.266666667,0.6508486149694441,7219744956.830371,USD,29.154124550533506,30.401356919117745,Technology services,Packaged software,2026-12-11
ADPT,Adaptive Biotechnologies Corporation,29.43,USD,112.64450867052024,13.192307692307692,-0.47345282380791537,4.204480365030861,1684815,2092642.9,0.5904626413042884,4696905536.564761,USD,21.52550145213064,50.125233899890844,Health technology,Biotechnology,2026-11-05
NTRA,"Natera, Inc.",412.56,USD,110.82324084010425,23.784091931951146,0.9222339098314494,3.2467190919416153,1598887,1406995.5333333334,0.8634093547268064,59468117971.556244,USD,37.71496523966337,37.8173032034126,Health technology,Biotechnology,2026-11-11
VIA,"Via Transportation, Inc.",29.41,USD,110.5225483178239,8.085262771040057,-1.9012675116744506,4.714164278428132,866625,780415.3666666667,0.7147666143184919,2397080084.470981,USD,26.671520446547746,29.132842927413442,Technology services,Packaged software,2026-11-12
RNG,"RingCentral, Inc.",76.16,USD,109.02977905859748,19.65435978004713,-4.585316963167122,4.291819852941131,1531566,1520823.8,0.8636049099137909,6359829401.120522,USD,5.901534176448022,5.219097694332156,Technology services,Packaged software,2026-11-09
P,"Everpure, Inc.",126,USD,105.51296688957756,22.14036448235751,3.380374138496886,4.742341269841207,6075063,6149675.866666666,0.5234584908313125,41986634368.39515,USD,37.73463940850312,27.213130607351165,Electronic technology,Computer peripherals,2026-12-02
BNC,CEA Industries Inc.,6.11,USD,105.03355704697988,97.73462783171523,-2.396166134185295,9.225040916530292,702657,3738890.8,0.26156170118199473,251572239.11661342,USD,-4.568460309003729,187.74798884245592,Producer manufacturing,Trucks/Construction/Farm machinery,2026-12-30
MGNI,"Magnite, Inc.",23.97,USD,103.73990650233742,2.831402831402832,-0.4154549231408451,3.6786459264557223,1533959,2309440.6333333314,0.6442592301316421,3437877162.8014126,USD,11.24489419149378,8.315889962252253,Technology services,Packaged software,2026-11-11
RSKD,Riskified Ltd.,7.78,USD,101.03359173126614,32.08828522920205,-1.6434892541087216,4.38707308116045,3200706,2298853.7,1.3302730502197397,1027253510.5815424,USD,21.75055514415132,9.625549021055967,Technology services,Packaged software,2026-11-18
AVTR,"Avantor, Inc.",15.25,USD,100.92226613965745,7.167955024595921,-0.8452535760728269,3.067213114754079,6529462,7704322.166666667,0.6706489170746698,10314472168.010405,USD,0.5286919329927527,-1.570704191544901,Health technology,Medical specialties,2026-10-23
ATRC,"AtriCure, Inc.",58.38,USD,96.4333781965007,21.574344023323615,-3.9328616093467175,3.7830959722018846,1589012,1261037,0.8133550144467958,2969574316.3659697,USD,12.828799976494611,13.936705164157729,Health technology,Medical specialties,2026-11-04
SMCI,"Super Micro Computer, Inc.",43.26,USD,94.77712742008102,13.767258382642998,4.215851602023609,4.611551416683218,49071085,40512401.7,1.198842649654758,28420321754.357502,USD,93.1552702482286,77.78535103837868,Electronic technology,Computer processing hardware,2026-11-03
FEAM,"5E Advanced Materials, Inc.",2.8,USD,93.10344827586208,60.91954022988505,0.9009009009008978,9.283418367346911,401315,641262.7666666667,0.2869046129649157,116612638.27027027,USD,,,Process industries,Chemicals: specialty,2026-11-05
OMER,Omeros Corporation,20.08,USD,93.07692307692305,5.907172995780577,-0.2483854942871372,4.457100170745532,940446,1727410.7333333334,0.5093663800835571,1453557270.485842,USD,,,Health technology,Pharmaceuticals: major,2026-11-11
HTFL,"Heartflow, Inc.",49.17,USD,92.82352941176471,-1.6993202718912463,1.0480887792848441,5.133225834568118,942020,2449947.933333333,0.41080215791274727,4275509901.411221,USD,47.572770817980825,,Technology services,Packaged software,2026-11-18
GRPN,"Groupon, Inc.",21.3,USD,91.54676258992808,10.305541170378053,1.9626615605552904,4.922266934943019,689797,1152465.6666666667,0.4675243043546303,866170831.881283,USD,-0.817011662503381,1.980740014802756,Retail trade,Internet retail,2026-11-05
FWDI,"Forward Industries, Inc.",8.42,USD,90.9297052154195,41.038525963149084,0.8383233532934166,6.749406175771959,2311552,2343704.1666666665,0.865290916877042,621790806.2371258,USD,332.09255045256697,171.5850214312161,Finance,Financial conglomerates,2026-12-17
BBNX,"Beta Bionics, Inc.",21.51,USD,90.69148936170215,12.265135699373703,-1.1488970588235292,7.789964800425101,925979,1346574.0333333334,0.45991389481550554,1160383048.6681983,USD,37.76142525174282,52.53774576401528,Health technology,Medical specialties,2026-11-03
TEM,"Tempus AI, Inc.",85.01,USD,89.14228501501836,25.97806757557795,3.3681906614786117,5.332725561698672,8401794,8072675.666666667,1.0731839199538957,15338758969.927532,USD,21.564988001970537,50.42516604848206,Technology services,Packaged software,2026-11-10
MNOV,"MediciNova, Inc.",2.58,USD,82.97872340425533,64.3312101910828,-2.6415094339622582,12.135520487264614,251856,539313.5,0.17021981792692004,126990815.75094339,USD,240.59614113032043,583.8691223560353,Health technology,Pharmaceuticals: major,2026-11-12
MSGY,Masonglory Limited,8.07,USD,82.9102447869447,260.2678571428571,309.6446700507614,10.235793945831109,50697184,1776528.3,1552.9561104712427,4175661,USD,,,Industrial services,Engineering & construction,
VICR,Vicor Corporation,281.96,USD,81.11510791366904,44.077669902912625,2.137216547127428,5.427337717609381,766547,893279.9666666667,0.6592005423946166,13000254377.46084,USD,49.25348270620328,24.953999778566267,Electronic technology,Electronic components,2026-10-27
NWGL,CL Workshop Group Limited,1.42,USD,80.84564442180334,112.25710014947681,-1.0452961672473953,17.688128772635803,66263,1376343.3666666667,0.053096386412011067,41404288,USD,,-32.131740216615405,Non-energy minerals,Forest products,
TGTX,"TG Therapeutics, Inc.",57.43,USD,80.8249370277078,3.477477477477477,-0.15646731571627853,4.069202258650248,1271910,1883824.8666666667,0.606750056815287,8790755382.748783,USD,70.27162977867204,76.08287745447818,Health technology,Pharmaceuticals: major,2026-11-09
ALVO,Alvotech,5.75,USD,78.0185758513932,15.461847389558223,-2.210884353741495,4.450931677018689,705130,1190446.6,0.46010181317816207,2244980924.5323133,USD,-38.9444640063727,-12.166128663657659,Health technology,Biotechnology,2026-11-11
CAI,"Caris Life Sciences, Inc.",31.98,USD,76.49006622516556,15.451263537906142,-0.8986674930275881,4.59215581166801,2916765,5462103.533333333,0.45974017622218855,9037394123.37899,USD,45.37756755862799,85.37205346840301,Health technology,Biotechnology,2026-11-11
SOPH,SOPHiA GENETICS SA,8.34,USD,76.3213530655391,-2.7972027972027997,0.9685230024213084,4.768242548818093,516186,645069.7,0.6394088441733744,709966125.6246972,USD,27.217158762117215,23.646825852835395,Technology services,Packaged software,2026-11-10
BLLN,"BillionToOne, Inc.",123.08,USD,75.80345664905012,24.386053562405248,-1.4571657325860747,5.401092495009037,527932,622846.8,0.7520538129623483,5807780497.897517,USD,64.40298619560484,90.12017298786789,Health services,Medical/Nursing services,2026-12-15
RVTY,"Revvity, Inc.",151.11,USD,74.31076248702274,22.56468488928543,0.28537297584285026,3.4261228811557887,1929763,1943084.5333333334,0.743983843466931,16861819368.630941,USD,1.305596125972533,4.050217494078008,Health technology,Medical specialties,2026-11-02
CLMT,"Calumet, Inc",53.65,USD,74.07527579493835,13.979179944763114,-0.37140204271124017,4.535308214618585,1305431,1301453.3333333333,0.7941995244163405,4715739986.1987,USD,40.76563413208652,12.799724842767295,Energy minerals,Oil refining/Marketing,2026-11-06
CHPT,"ChargePoint Holdings, Inc.",8.93,USD,73.39805825242716,53.436426116838476,-0.5567928730512328,8.25107982722744,928255,2996002.966666667,0.5878832050035383,239773386.83630285,USD,17.735064408154987,8.839391447988715,Producer manufacturing,Electrical products,2026-12-09
EAF,GrafTech International Ltd.,11.09,USD,72.74143302180686,65.52238805970148,4.9195837275307435,9.403387865515933,650178,546650.9,0.7635015587020691,289362101.40397346,USD,-3.3965412621359223,0.8589125946317963,Producer manufacturing,Electrical products,2026-10-30
RUM,RUM Group Inc.,8.36,USD,72.01646090534976,-16.981132075471706,-2.7906976744186074,7.029562542720575,2593914,5492163.366666666,0.30725864332472264,4144973286.5813956,USD,60.92218378655839,13.048867309400885,Technology services,Internet software/Services,2026-11-16
DINO,HF Sinclair Corporation,106.82,USD,69.20639949310944,16.108695652173907,0.9736269968806002,4.730715221868612,2071411,2680272.2666666666,0.5988341558225038,18990870379.89961,USD,53.15448113207547,16.25539972603217,Energy minerals,Oil refining/Marketing,2026-10-28
USDE,StablecoinX Inc.,17.25,USD,68.29268292682927,196.9018932874355,21.308016877637126,9.086708074534148,7712923,8828001.466666667,1.2023498824762575,468977985.70675105,USD,,,Technology services,Packaged software,
RGEN,Repligen Corporation,189.68,USD,67.39917041743888,5.313419576925209,-0.5087857330186198,3.217761493040841,1478602,1022604.1,1.4526329895197574,10704707935.981117,USD,11.93314543281094,16.491432675130127,Health technology,Pharmaceuticals: major,2026-11-03
DNA,"Ginkgo Bioworks Holdings, Inc.",10.66,USD,66.04361370716511,45.429740791268756,4.000000000000002,6.715558831412512,2264730,1455753.5666666667,1.1945010955118287,717847354.64,USD,-48.49491490775285,-51.53564543032299,Health services,Medical/Nursing services,2026-11-16
DFDV,DeFi Development Corp.,6.04,USD,65.47945205479452,38.850574712643684,4.317789291882556,8.572138126773885,2921718,2391558.033333333,0.9846847531822336,197029562.10708117,USD,66.86807653575025,328.633672297898,Finance,Financial conglomerates,2026-11-18
AMRX,"Amneal Pharmaceuticals, Inc.",19.77,USD,64.61282264779351,9.83333333333333,-0.17672304973491615,4.3875280005781505,2443755,2193630.2666666666,0.7455541647386535,6313626944.894723,USD,9.894852782854018,9.275919288138374,Health technology,Pharmaceuticals: major,2026-10-29
IOND,Ionic Digital Inc.,81.98,USD,63.96000000000001,17.248283752860416,-3.1999055378438936,6.083800927055393,537732,736275.2666666667,0.4998910010565228,3688786751.990318,USD,,,Technology services,Data processing services,2026-12-02
LPG,Dorian LPG Ltd.,53.43,USD,61.90909090909091,9.286152587441192,-1.147086031452354,3.758963664073197,432292,581928.4333333333,0.6518118760421757,2285878587.4573545,USD,123.10944266519084,81.05922022373736,Transportation,Marine shipping,2026-11-04
ECO,Okeanis Eco Tankers Corp.,77.9,USD,60.222130810366124,23.65079365079366,-0.40910253132190383,4.429112415184263,655088,698759.6666666666,0.6162318112570898,2987368646.802608,USD,239.39574676290653,105.24219735077509,Transportation,Marine shipping,2026-11-11
SWKS,"Skyworks Solutions, Inc.",89.34,USD,59.22295490999823,35.87832699619773,1.7423983600956623,6.146686814416787,4547697,7005799.166666667,0.5010849078838138,13443237641.430132,USD,-3.1295336787564763,0.06231927410509522,Electronic technology,Semiconductors,2026-10-29
MPC,Marathon Petroleum Corporation,393.52,USD,59.10726559657137,12.181076997633902,0.6573730656094112,3.9881363807974237,1909334,2886139.6666666665,0.48135073287892427,110510154171.03712,USD,53.101604278074866,15.187181048153745,Energy minerals,Oil refining/Marketing,2026-11-03
CROX,"Crocs, Inc.",126.14,USD,58.010772892396346,2.853881278538813,2.1872974724562564,3.1739110738635343,853872,1070911.9333333333,0.6326693483321663,6047792004.727641,USD,2.6183841102931775,-2.0251147769614413,Consumer non-durables,Apparel/Footwear,2026-10-29
VLO,Valero Energy Corporation,387.18,USD,56.209150326797385,15.30420798713481,1.128349788434413,4.438943127227639,3803413,3308144.000000005,0.7642692544696895,111479749587.38083,USD,49.03968413303888,12.921579878930906,Energy minerals,Oil refining/Marketing,2026-10-22
CBAT,CBAK Energy Technology Limited,1.25,USD,55.64686838500809,35.8695652173913,-8.759124087591248,8.129714285714247,796469,725865.1333333333,0.8953796163871303,110807295.62043795,USD,99.25638760074337,50.50531955257986,Producer manufacturing,Electrical products,
NEOG,Neogen Corporation,13.76,USD,53.40022296544034,12.97208538587849,0.7320644216691043,3.5766196013288285,5218635,2603042.2,1.4001671249478322,3001138565.036603,USD,-0.07052280015435179,-2.713988873998084,Health technology,Medical specialties,2026-10-06
FFIV,"F5, Inc.",443.06,USD,52.75824024272513,15.808458361649857,-0.7815474191020062,3.1753712815420054,412157,508872.3333333333,0.6572766134698672,25089238574.197826,USD,10.854722759716545,9.411847165429723,Technology services,Packaged software,2026-11-02
SENS,"Senseonics Holdings, Inc.",10,USD,52.207001522070016,5.485232067510544,-3.2882011605415844,4.865785714285735,568575,715014.6333333333,0.6929323882259201,528740547.3887814,USD,117.8222289066025,90.62671797691038,Electronic technology,Electronic components,2026-11-10
SBET,"Sharplink, Inc.",9.63,USD,51.653543307086636,18.01470588235295,-3.2160804020100353,5.818943776887556,5187868,9792069.233333357,0.48192405326499865,2091863249.6110556,USD,1553.9454806287429,1496.6773245449936,Commercial services,Advertising/Marketing services,2026-11-12
CVI,CVR Energy Inc.,51.52,USD,48.94478172882336,38.04930332261522,0.4288499025341247,5.358959072759513,1157894,1100124.2,0.9154737931519771,5179336512,USD,55.47984099943214,17.879504661193824,Energy minerals,Oil refining/Marketing,2026-11-02
QRVO,"Qorvo, Inc.",117.97,USD,47.351986010492126,24.783160566955775,1.4010658414990507,4.410992988532216,1115139,1252424.7666666666,0.6616029989247176,10407505824.746605,USD,-4.15045348067486,-0.1792347356041147,Electronic technology,Semiconductors,2026-11-04
AIXC,"AIxCrypto Holdings, Inc.",1.73,USD,46.61016949152543,88.51476517380408,21.830985915492963,11.388728323699434,808016,2874538.7333333334,0.9461043811142101,36518370.1971831,USD,,,Technology services,Packaged software,2026-11-17
