Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Upcoming earnings date
BLZE,"Backblaze, Inc.",13.19,USD,279.0229885057471,-13.50819672131148,-2.3324694557571366,6.104191487057207,1191886,2369882.6,0.6232711330824741,816461027.3469085,USD,17.673150035814643,13.852104366067916,Electronic technology,2026-11-11
APPS,"Digital Turbine, Inc.",11.11,USD,277.89115646258506,5.009451795841204,2.1139705882352815,7.514015687283108,3588540,2696256.466666667,1.2623403518698013,1344490557.9227939,USD,26.77619418602876,19.240509849178554,Technology services,2026-11-11
BAND,Bandwidth Inc.,61.81,USD,263.5882352941176,33.4989200863931,-0.0323467572375805,7.930986664201386,1087701,882028.5333333333,0.9952075999131882,1989094518.2361312,USD,22.156177609394877,9.251740521774,Technology services,2026-10-29
ALAB,"Astera Labs, Inc.",364.62,USD,228.48648648648648,29.014224046422758,1.1400515935757713,5.307901768573169,3052971,3803281.7,0.6787794411428824,63256141581.82025,USD,104.45486518171161,98.48418542512663,Electronic technology,2026-11-10
PENG,"Penguin Solutions, Inc.",56.22,USD,223.1034482758621,11.992031872509951,5.915599095704598,4.273085328047971,1629722,1480301.5666666667,1.0876613734127278,2880864618.3605876,USD,47.636553164052984,11.973368504204736,Electronic technology,2026-10-06
CORT,Corcept Therapeutics Incorporated,116.1,USD,204.80441060645833,-5.278616300889287,-2.0335836638258464,4.936341823551051,792444,1421354.5,0.29670347197921604,12550224037.209518,USD,31.742529445044486,16.02237180203329,Health technology,2026-11-04
AEHR,Aehr Test Systems,104.39,USD,204.16666666666663,10.325512576622273,7.1545883802094,6.939290161892905,2839794,2670060.966666667,1.2190080666842347,3409329932.6604395,USD,33.685854212506214,-15.206552706552706,Electronic technology,2026-10-06
OTLK,"Outlook Therapeutics, Inc.",0.6395,USD,202.6502602934217,-0.07812500000000874,-2.4855138761817765,6.467105997989433,2917959,13315842.700000001,0.7698932065547487,155684698.19075936,USD,,,Health technology,2026-12-18
MU,"Micron Technology, Inc.",1082.28,USD,200.7502917801367,16.909715470866544,0.16195755786512175,3.366009060237881,19504405,25598666.766666666,0.7851082405458099,1222319561051.7996,USD,345.71551446081065,166.98015556147044,Electronic technology,2026-09-30
SNDK,Sandisk Corporation,1777.8,USD,196.42350979574823,22.137719244007503,1.3788620111540737,5.063531973707501,7197147,11562987.1,0.7280680799045731,260303708759.62228,USD,371.5938979484482,175.29571719918422,Electronic technology,2026-11-05
CNET,ZW Data Action Technologies Inc.,1.85,USD,180.30303030303028,34.05797101449277,35.036496350364956,8.517760617760601,25298477,905515.1,9751.186016031736,6786594.01459854,USD,18.97810218975871,-55.13787721120489,Commercial services,
ENGS,Energys Group Limited,2.94,USD,160.1769911504425,1.3793103448275874,1.0309278350515396,4.798347910592844,4439466,1776541.0666666667,1.7865681961382385,130908028.20618558,USD,,-33.561947226961195,Electronic technology,
KOPN,Kopin Corporation,4.99,USD,159.89583333333334,2.6748971193415616,2.4640657084188935,4.875465216146508,3298213,3559715.7,0.8792080537080924,927504274,USD,50.616324318148465,-7.119580843722326,Electronic technology,2026-11-03
SIMO,Silicon Motion Technology Corporation,276.23,USD,155.17782909930716,14.29576299238663,0.4107597237368213,5.761909071632837,469209,830019.6,0.5463335400092567,9328022232,USD,122.89450360168794,69.55933666350374,Electronic technology,2026-11-04
PANW,"Palo Alto Networks, Inc.",374.74,USD,153.97492375465941,13.401219530647147,-3.8931062782109165,4.435164571245558,4850172,6456305.166666674,0.6709720888414662,306537330556.38116,USD,34.447817687182116,24.491677059046793,Technology services,2026-11-12
HPE,Hewlett Packard Enterprise Company,62.94,USD,153.07599517490948,17.86516853932584,-0.9130982367758271,5.2084297970858255,15472606,22971948.933333356,0.6350043745950938,83550630184.875,USD,32.37339708758966,26.63381899522399,Electronic technology,2026-12-03
BB,BlackBerry Limited,8.21,USD,152.61538461538464,6.6233766233766325,-5.956471935853374,5.317991995823839,31698675,12641760.500000007,1.7894664048215998,4811884987.90546,USD,22.202604719147903,3.6504655882381214,Technology services,2026-12-17
CLOV,"Clover Health Investments, Corp.",4.49,USD,150.83798882681563,9.512195121951235,-0.4434589800443364,5.31053133948445,3517564,3953866.3,0.7444742339245539,2384895954.436807,USD,55.60415493267392,54.03893900418447,Finance,2026-11-09
XMTR,"Xometry, Inc.",100.57,USD,150.48567870485678,14.01201677814307,3.2758266584514253,5.19407477378947,595105,702888.9,0.5365280480730862,5765031653.225099,USD,41.054587288599606,33.74988820097985,Technology services,2026-11-05
