Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
XHLD,"TEN Holdings, Inc.",12.53,USD,735.3333333333334,217.21518987341764,15.590405904059038,9.534602667882785,3814505,7403896.933333334,1.0587582437731524,150077371.05442804,USD,-34.49820788530466,,Commercial services,Miscellaneous commercial services,2026-11-16
TJGC,TJGC Group Limited,11.19,USD,358.06213926071473,191.40625,4.873477038425488,9.440827269245492,1794291,1663978.2,1.1100280709894448,113019261.13495784,USD,,-5.896746970571368,Electronic technology,Electronic equipment/Instruments,
SWVL,Swvl Holdings Corp,7.115,USD,339.1975308641975,384.01360544217687,-10.390428211586904,13.893785764481482,678420,2988304.9,0.6017998109495951,70896308.13350126,USD,,40.45086050958886,Transportation,Other transportation,2027-05-04
PCLA,PicoCELA Inc.,10.11,USD,337.6623376623376,44.42857142857142,4.012345679012333,11.468136215910757,6038740,822145.9333333333,8.64304504767548,93446185,USD,,,Electronic technology,Computer communications,
QMCO,Quantum Corporation,23.58,USD,331.86813186813185,17.313432835820876,2.388189318280491,7.2830788804070945,786221,1949143.1666666667,0.8079317417647011,929287824.5731653,USD,25.692996920013687,10.898127340823969,Electronic technology,Computer peripherals,2026-11-13
CYPH,Cypherpunk Technologies Inc.,2.265,USD,268.11311555338864,227.21756717711642,2.954545454545452,16.113528855250724,11503651,9108813.366666667,0.7946324513782989,244086328.93636364,USD,,,Health technology,Biotechnology,2026-11-16
TXG,"10x Genomics, Inc.",68.59,USD,261.5709014233,17.027810953762163,3.329316059053944,5.143617353633431,1829696,2962306.533333333,0.7904552780922964,8936670811.33429,USD,-12.649501468989289,-4.27563284952193,Health technology,Biotechnology,2026-11-04
LIFE,Ethos Technologies Inc.,40.25,USD,213.717848791894,20.149253731343283,3.6036036036036,6.567843833185442,995604,1609450.3,0.8385607000622938,2566291830.54054,USD,113.35299215522964,83.24085876383994,Technology services,Packaged software,2026-12-02
CDNA,"CareDx, Inc.",50.26,USD,203.68580060422957,5.877396250263322,0.47980807676928205,4.8273264737650825,663051,1214720.5,0.5647192590226765,2600162042.493802,USD,52.22602937274312,34.40553244177381,Health technology,Medical specialties,2026-11-10
ASST,"Strive, Inc.",27.62,USD,195.08547008547012,114.77449455676519,2.6765799256505667,7.87097858694522,8934950,7585631.733333333,0.7902530676009163,2575912057.107807,USD,-19.196116796241466,650.3060458871381,Finance,Financial conglomerates,2026-11-13
